Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, ,
112018Abl_EA8,52,TE,I,11973,351.47,421.88,67.344,866.28,1.04E+07,17.879,2.14E+05,26.182,3.13E+05,1134.6,1.36E+07,286.24,3.43E+06,,
112018Abl_EA8,53,ICM,I,7275,98.883,231.38,65.736,716.32,5.21E+06,27.713,2.02E+05,30.579,2.22E+05,1157.9,8.42E+06,616.71,4.49E+06,,
112018Abl_EA8,53.2,ICM,I,7275,100,274,68,576.278,,31.533,,21.435,,1080.526,,118.796,,,
112018Abl_EA8,54,ICM,I,6825,103.11,332.05,66.203,1064.6,7.27E+06,105.16,7.18E+05,28.038,1.91E+05,1224,8.35E+06,164.12,1.12E+06,,
112018Abl_EA8,55,TE,I,24422,141.45,130.39,74.458,844.33,2.06E+07,17.604,4.30E+05,18.003,4.40E+05,1130.4,2.76E+07,55.883,1.36E+06,,
112018Abl_EA8,56,TE,I,10410,128.27,317.37,67.917,669.29,6.97E+06,23.366,2.43E+05,27.584,2.87E+05,1049.8,1.09E+07,490.93,5.11E+06,,
112018Abl_EA8,57,TE,I,6104,270.03,90.767,69.946,763.07,4.66E+06,18.741,1.14E+05,21.917,1.34E+05,968.83,5.91E+06,152.32,9.30E+05,,
112018Abl_EA8,58,ICM,I,7261,119.25,191.29,70.449,497.85,3.61E+06,19.707,1.43E+05,24.8,1.80E+05,1086.7,7.89E+06,352.98,2.56E+06,,
112018Abl_EA8,60,ICM,I,2990,79.876,289.84,69.751,897.32,2.68E+06,27.62,82583,28.075,83943,1190.1,3.56E+06,465.52,1.39E+06,,
112018Abl_EA8,61,TE,I,15676,413.99,163.4,74.62,689.2,1.08E+07,19.264,3.02E+05,23.361,3.66E+05,1068.4,1.67E+07,74.729,1.17E+06,,
112018Abl_EA8,62,TE,I,35828,412.56,361.34,82.309,726.84,2.60E+07,17.77,6.37E+05,24.905,8.92E+05,1262.2,4.52E+07,170.43,6.11E+06,,
112018Abl_EA8,63,TE,I,21276,71.19,269.6,80.116,528.14,1.12E+07,27.263,5.80E+05,19.32,4.11E+05,1168.4,2.49E+07,96.395,2.05E+06,,
112018Abl_EA8,64,TE,I,11539,218.1,422.2,77.292,523.23,6.04E+06,18.67,2.15E+05,20.393,2.35E+05,990.94,1.14E+07,85.044,9.81E+05,,
112018Abl_EA8,65,TE,I,11186,220.4,100.64,78.174,673.11,7.53E+06,17.733,1.98E+05,20.152,2.25E+05,1222.4,1.37E+07,70.29,7.86E+05,,
112018Abl_EA8,66,ICM,I,10000,123,257,73,500.627,,21.459,,23.593,,1102.444,,447.802,,,
112018Abl_EA8,66.2,ICM,I,10000,102,278,75,571.258,,34.9,,19.399,,1055.852,,120.685,,,
112018Abl_EA8,67,TE,I,21943,100.63,331.6,81.04,573.38,1.26E+07,36.2,7.94E+05,20.911,4.59E+05,1078.9,2.37E+07,82.247,1.80E+06,,
112018Abl_EA8,68,TE,I,11080,168.1,399.84,77.617,677.28,7.50E+06,17.047,1.89E+05,19.701,2.18E+05,1192.1,1.32E+07,77.601,8.60E+05,,
112018Abl_EA8,69,TE,I,22745,96.054,214.46,83.755,340.39,7.74E+06,23.165,5.27E+05,17.711,4.03E+05,1016.8,2.31E+07,72.725,1.65E+06,,
112018Abl_EA8,70,TE,I,7890,268.24,418.23,76.759,724.21,5.71E+06,17.324,1.37E+05,18.906,1.49E+05,1054.2,8.32E+06,77.284,6.10E+05,,
