Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum,
012216_mzFGF4_G4,86,57,TE,6669,329.1,334.44,29.914,416.94,2.78E+06,136.31,9.09E+05,43.787,2.92E+05,749.96,5.00E+06,73.958,4.93E+05,
012216_mzFGF4_G4,86,58,EPI,8155,190.4,281.84,25.756,843.37,6.88E+06,27.366,2.23E+05,480.73,3.92E+06,706.64,5.76E+06,94.16,7.68E+05,
012216_mzFGF4_G4,86,59,TE,8892,318.53,189.67,31.203,427.16,3.80E+06,67.539,6.01E+05,30.877,2.75E+05,683.71,6.08E+06,50.459,4.49E+05,
012216_mzFGF4_G4,86,60,EPI,4122,239.63,273.12,29.201,591.59,2.44E+06,48.346,1.99E+05,418.52,1.73E+06,725.81,2.99E+06,71.16,2.93E+05,
012216_mzFGF4_G4,86,61,EPI,1424,167.88,208.23,27.97,936.67,1.33E+06,33.166,47229,1055.4,1.50E+06,749.97,1.07E+06,90.621,1.29E+05,
012216_mzFGF4_G4,86,62,EPI,2644,188.81,225.09,26.161,817.87,2.16E+06,30.213,79883,607.25,1.61E+06,646.19,1.71E+06,90.659,2.40E+05,
012216_mzFGF4_G4,86,63,EPI,11570,217.36,321.83,32.599,505.46,5.85E+06,24.477,2.83E+05,298.04,3.45E+06,798.25,9.24E+06,80.18,9.28E+05,
012216_mzFGF4_G4,86,64,TE,10826,197.28,382.44,32.502,246.91,2.67E+06,39.561,4.28E+05,34.362,3.72E+05,701.09,7.59E+06,33.781,3.66E+05,
012216_mzFGF4_G4,86,65,TE,5708,373.57,278.25,31.252,419.03,2.39E+06,73.686,4.21E+05,30.935,1.77E+05,696.77,3.98E+06,39.994,2.28E+05,
012216_mzFGF4_G4,86,66,TE,17728,300.9,355.24,35.298,429.61,7.62E+06,49.091,8.70E+05,29.203,5.18E+05,829.54,1.47E+07,41.833,7.42E+05,
012216_mzFGF4_G4,86,67,TE,10808,381.24,245.53,35.849,458.86,4.96E+06,64.038,6.92E+05,45.54,4.92E+05,674.57,7.29E+06,74.687,8.07E+05,
