Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum
011916_mzFGF4_F5,102,66,TE,8063,380.92,213.71,40.869,1003.6,8.09E+06,697.18,5.62E+06,114.51,9.23E+05,796.98,6.43E+06,287.43,2.32E+06
011916_mzFGF4_F5,102,67,EPI,5838,223.7,342.01,39.729,901.39,5.26E+06,57.806,3.37E+05,1628,9.50E+06,803.47,4.69E+06,125.23,7.31E+05
011916_mzFGF4_F5,102,68,TE,9989,180.7,160.16,43.87,945.32,9.44E+06,455.64,4.55E+06,290.86,2.91E+06,689.08,6.88E+06,156.44,1.56E+06
011916_mzFGF4_F5,102,69,EPI,4295,162.39,216.4,38.896,1007.7,4.33E+06,46.825,2.01E+05,2545.5,1.09E+07,849.92,3.65E+06,110.18,4.73E+05
011916_mzFGF4_F5,102,70,EPI,3360,185.4,290.3,37.732,729.57,2.45E+06,50.66,1.70E+05,1822.5,6.12E+06,709.01,2.38E+06,113.63,3.82E+05
011916_mzFGF4_F5,102,71,TE,9988,379.65,301.22,44.382,671.89,6.71E+06,471.64,4.71E+06,78.662,7.86E+05,756.69,7.56E+06,242.7,2.42E+06
011916_mzFGF4_F5,102,72,TE,8002,334.98,163.22,44.474,799.44,6.40E+06,579.98,4.64E+06,89.393,7.15E+05,912.59,7.30E+06,235.33,1.88E+06
011916_mzFGF4_F5,102,73,EPI,16627,193,345,44,731.117,,52.274,,1769.038,,591.264,,119.524,
011916_mzFGF4_F5,102,73.2,TE,16627,206,365,44,847.167,,683.531,,202.783,,681.062,,302.833,
011916_mzFGF4_F5,102,75,EPI,3307,185.89,180.31,39.594,986.19,3.26E+06,63.976,2.12E+05,2226,7.36E+06,735.04,2.43E+06,117.81,3.90E+05
011916_mzFGF4_F5,102,76,EPI,2579,125.19,246.45,41.869,968.56,2.50E+06,45.795,1.18E+05,2493.1,6.43E+06,676.03,1.74E+06,111.8,2.88E+05
011916_mzFGF4_F5,102,77,EPI,3345,185.66,256.28,42.661,1056.9,3.54E+06,50.659,1.69E+05,1486.3,4.97E+06,781.81,2.62E+06,101.87,3.41E+05
011916_mzFGF4_F5,102,78,EPI,1614,153.68,260.25,40.621,808.58,1.31E+06,41.532,67032,2363.9,3.82E+06,680.32,1.10E+06,115.9,1.87E+05
011916_mzFGF4_F5,102,79,TE,5725,141.91,334.92,44.906,961.79,5.51E+06,506.1,2.90E+06,313.32,1.79E+06,714.61,4.09E+06,225.85,1.29E+06
011916_mzFGF4_F5,102,80,TE,7889,127.73,209.3,47.542,732.19,5.78E+06,572.02,4.51E+06,429.85,3.39E+06,670.73,5.29E+06,231.32,1.82E+06
011916_mzFGF4_F5,102,81,EPI,3731,175.92,320.43,43.095,782.65,2.92E+06,41.901,1.56E+05,2287.3,8.53E+06,692.07,2.58E+06,125.98,4.70E+05
011916_mzFGF4_F5,102,82,EPI,5508,213.98,311.57,45.603,649.32,3.58E+06,45.743,2.52E+05,1723.6,9.49E+06,692.28,3.81E+06,91.292,5.03E+05
011916_mzFGF4_F5,102,83,EPI,8348,145.9,260.5,48.367,721.22,6.02E+06,48.919,4.08E+05,1982.2,1.65E+07,675.29,5.64E+06,113.94,9.51E+05
011916_mzFGF4_F5,102,84,TE,9369,240.05,147.04,51.246,538.76,5.05E+06,316.36,2.96E+06,76.001,7.12E+05,637.73,5.97E+06,136.97,1.28E+06
011916_mzFGF4_F5,102,85,EPI,10696,173.81,208.8,51.185,445.21,4.76E+06,39.337,4.21E+05,1351.2,1.45E+07,783.17,8.38E+06,82.322,8.81E+05
011916_mzFGF4_F5,102,86,EPI,14976,184.36,287.16,50.394,530.57,7.95E+06,51.444,7.70E+05,1333.9,2.00E+07,714.4,1.07E+07,96.363,1.44E+06
011916_mzFGF4_F5,102,87,TE,10698,289.24,145.8,53.04,442.34,4.73E+06,350.62,3.75E+06,60.378,6.46E+05,603.31,6.45E+06,159.7,1.71E+06
011916_mzFGF4_F5,102,88,TE,12995,346.17,333.08,51.72,402.11,5.23E+06,318.79,4.14E+06,64.894,8.43E+05,679.53,8.83E+06,200.37,2.60E+06
011916_mzFGF4_F5,102,89,TE,6596,396.21,255,50.446,617.25,4.07E+06,332.31,2.19E+06,75.151,4.96E+05,588.5,3.88E+06,196.71,1.30E+06
011916_mzFGF4_F5,102,90,TE,8390,137.18,287.84,55.322,458.78,3.85E+06,344.61,2.89E+06,308.88,2.59E+06,739.11,6.20E+06,160.25,1.34E+06
011916_mzFGF4_F5,102,91,TE,18446,232.22,282.44,55.947,365.94,6.75E+06,35.785,6.60E+05,287.02,5.29E+06,703.81,1.30E+07,44.634,8.23E+05
011916_mzFGF4_F5,102,92,TE,9127,349.55,174.6,56.922,511.7,4.67E+06,398.65,3.64E+06,61.328,5.60E+05,629.64,5.75E+06,163.42,1.49E+06
011916_mzFGF4_F5,102,93,TE,16791,385.76,214.72,56.542,551.61,9.26E+06,432.09,7.26E+06,56.601,9.50E+05,614.91,1.03E+07,164.66,2.76E+06
011916_mzFGF4_F5,102,94,EPI,8206,172.67,311.37,55.485,470.98,3.86E+06,46.634,3.83E+05,1230.4,1.01E+07,688.96,5.65E+06,102.25,8.39E+05
011916_mzFGF4_F5,102,95,TE,9424,234.04,344.9,58.296,333.94,3.15E+06,278.55,2.63E+06,114.29,1.08E+06,690.83,6.51E+06,135.01,1.27E+06
011916_mzFGF4_F5,102,96,EPI,5112,176.55,249.6,56.36,449.58,2.30E+06,40.965,2.09E+05,1242.9,6.35E+06,708.38,3.62E+06,92.689,4.74E+05
011916_mzFGF4_F5,102,97,TE,17143,375.28,286.74,60.445,456.76,7.83E+06,292.45,5.01E+06,57.754,9.90E+05,584.92,1.00E+07,135.7,2.33E+06
011916_mzFGF4_F5,102,98,TE,12698,283.78,344.86,58.984,270.41,3.43E+06,305.38,3.88E+06,57.218,7.27E+05,772.51,9.81E+06,149.97,1.90E+06
011916_mzFGF4_F5,102,100,TE,6233,161.3,227.73,65.083,431.34,2.69E+06,100.84,6.29E+05,219.03,1.37E+06,695.46,4.33E+06,85.968,5.36E+05
011916_mzFGF4_F5,102,101,TE,7308,195.82,316.32,65.617,310.53,2.27E+06,198.63,1.45E+06,227.9,1.67E+06,599.36,4.38E+06,106.49,7.78E+05
011916_mzFGF4_F5,102,102,TE,14308,321.76,175.28,69.216,412.31,5.90E+06,299.92,4.29E+06,48.727,6.97E+05,667.7,9.55E+06,105.94,1.52E+06
011916_mzFGF4_F5,102,103,TE,9269,314.62,307.03,70.164,289.82,2.69E+06,210.35,1.95E+06,41.341,3.83E+05,847.95,7.86E+06,114.14,1.06E+06
011916_mzFGF4_F5,102,104,TE,7546,183.32,212.29,69.326,291.22,2.20E+06,74.248,5.60E+05,104.21,7.86E+05,704.86,5.32E+06,61.025,4.60E+05
011916_mzFGF4_F5,102,105,TE,13994,358.01,218.94,70.225,422.37,5.91E+06,296.37,4.15E+06,47.849,6.70E+05,818.71,1.15E+07,103.03,1.44E+06
011916_mzFGF4_F5,102,106,TE,16704,255.18,177.59,71.433,255.73,4.27E+06,126.49,2.11E+06,43.878,7.33E+05,929.3,1.55E+07,70.06,1.17E+06
011916_mzFGF4_F5,102,107,TE,7991,349.43,280.28,70.741,328.17,2.62E+06,263.22,2.10E+06,49.663,3.97E+05,815.57,6.52E+06,128.23,1.02E+06
011916_mzFGF4_F5,102,108,TE,7185,192.42,272.92,68.822,287.25,2.06E+06,196.31,1.41E+06,304.13,2.19E+06,707,5.08E+06,100.08,7.19E+05
011916_mzFGF4_F5,102,109,TE,7579,223.87,290.86,71.179,271.53,2.06E+06,226.55,1.72E+06,112.98,8.56E+05,651.14,4.94E+06,98.881,7.49E+05
011916_mzFGF4_F5,102,110,TE,8251,269.88,296.52,71.964,263.6,2.18E+06,188.04,1.55E+06,46.554,3.84E+05,821.62,6.78E+06,87.097,7.19E+05
011916_mzFGF4_F5,102,111,TE,5422,342.2,250.55,76.361,321.27,1.74E+06,228.24,1.24E+06,43.75,2.37E+05,899.7,4.88E+06,121.26,6.57E+05
011916_mzFGF4_F5,102,112,TE,14413,237.71,247.78,74.975,239.93,3.46E+06,176.44,2.54E+06,54.519,7.86E+05,741.88,1.07E+07,67.904,9.79E+05
011916_mzFGF4_F5,102,113,TE,12794,302.1,233,78.485,344.38,4.41E+06,214.57,2.75E+06,36.981,4.73E+05,830.75,1.06E+07,116.46,1.49E+06
