"Embryo_ID","Experiment","Litter","Cellcount","TE_ICM","Treatment","Stage","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","Identity.man","count","pc.icm"
"121613_G4KO_D2","121613_G4KO_D","D",98,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","het",32,"DN",0,0
"121613_G4KO_D3","121613_G4KO_D","D",107,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","het",41,"DN",0,0
"121613_G4KO_E1","121613_G4KO_E","E",55,"ICM","Control","32_64","CD1/mixed","any","wt","Gata4","het",16,"DN",0,0
"121613_G4KO_E10","121613_G4KO_E","E",102,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",29,"DN",0,0
"121613_G4KO_E11","121613_G4KO_E","E",90,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",21,"DN",0,0
"121613_G4KO_E2","121613_G4KO_E","E",100,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",38,"DN",0,0
"121613_G4KO_E3","121613_G4KO_E","E",99,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",16,"DN",0,0
"121613_G4KO_E4","121613_G4KO_E","E",110,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",36,"DN",0,0
"121613_G4KO_E5","121613_G4KO_E","E",119,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",34,"DN",0,0
"121613_G4KO_E6","121613_G4KO_E","E",122,"ICM","Control","120_150","CD1/mixed","any","wt","Gata4","ko",34,"DN",0,0
"121613_G4KO_E7","121613_G4KO_E","E",121,"ICM","Control","120_150","CD1/mixed","any","wt","Gata4","het",32,"DN",0,0
"121613_G4KO_E8","121613_G4KO_E","E",97,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",19,"DN",0,0
"121613_G4KO_E9","121613_G4KO_E","E",107,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","ko",32,"DN",0,0
"012515_G4KO_AKAL1","012515_G4KO_AK-AL","AK-AL",168,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","ko",48,"DP",0,0
"012515_G4KO_AKAL10","012515_G4KO_AK-AL","AK-AL",162,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","het",53,"DP",0,0
"012515_G4KO_AKAL2","012515_G4KO_AK-AL","AK-AL",176,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","het",52,"DP",0,0
"012515_G4KO_AKAL3","012515_G4KO_AK-AL","AK-AL",165,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","het",58,"DP",0,0
"012515_G4KO_AKAL4","012515_G4KO_AK-AL","AK-AL",177,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","het",59,"DP",0,0
"012515_G4KO_AKAL5","012515_G4KO_AK-AL","AK-AL",169,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","het",51,"DP",0,0
"012515_G4KO_AKAL6","012515_G4KO_AK-AL","AK-AL",141,"ICM","Diapause","120_150","CD1/mixed","any","wt","Gata4","wt",42,"DP",0,0
"012515_G4KO_AKAL7","012515_G4KO_AK-AL","AK-AL",156,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","ko",37,"DP",0,0
"012515_G4KO_AKAL8","012515_G4KO_AK-AL","AK-AL",160,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","wt",46,"DP",0,0
"012515_G4KO_AKAL9","012515_G4KO_AK-AL","AK-AL",157,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","wt",42,"DP",0,0
"013115_G4KO_AM1","013115_G4KO_AM","AM",166,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","het",48,"DP",0,0
"013115_G4KO_AM2","013115_G4KO_AM","AM",157,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","ko",40,"DP",0,0
"013115_G4KO_AM3","013115_G4KO_AM","AM",168,"ICM","Diapause",">150","CD1/mixed","any","wt","Gata4","het",56,"DP",0,0
"020314_G4KO_F1","020314_G4KO_F","F",97,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","ko",27,"DP",0,0
