"Embryo_ID","Cellcount","Stage","Genotype","icm.count","Identity.km","count","TE_ICM","Litter","Experiment","pc.icm","Gene"
"07FR1_2 Cdx2 G6 Nan E35_2015_04_07__13_34_00__p27.xlsx",60,1,4,20,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"10May15 FR1_2 E35_2015_05_10__18_38_41__p03.xlsx",60,1,4,6,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"10May15 FR1_2 E35_2015_05_10__18_38_41__p06.xlsx",73,2,4,25,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"10May15 FR1_2 E35_2015_05_10__18_38_41__p09.xlsx",67,2,4,24,"DN",1,"ICM","no.litterID","no.experimentID",4.16666666666667,"FR1FR2"
"10May15 FR1_2 E35_2015_05_10__18_38_41__p10.xlsx",67,2,4,18,"DN",1,"ICM","no.litterID","no.experimentID",5.55555555555556,"FR1FR2"
"122414 FR1_2_P1.xlsx",84,2,4,27,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"122414 FR1_2_P9.xlsx",142,3,4,63,"DN",21,"ICM","no.litterID","no.experimentID",33.3333333333333,"FR1FR2"
"13Feb15 FR2 Cdx2 G6 Nan E35_2015_02_13__14_44_45__p6.xlsx",76,2,4,14,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"18Jun15 FR1_FR12_E35_2015_06_18__11_19_45__p01_channel=0001_frame=0001_statistics.xlsx",90,2,4,17,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"18Jun15 FR1_FR12_E35_2015_06_18__11_19_45__p07_channel=0001_frame=0001_statistics.xlsx",81,2,4,35,"DN",5,"ICM","no.litterID","no.experimentID",14.2857142857143,"FR1FR2"
"18Jun15 FR1_FR12_E35_2015_06_18__11_19_45__p10_channel=0001_frame=0001_statistics.xlsx",85,2,4,20,"DN",2,"ICM","no.litterID","no.experimentID",10,"FR1FR2"
"19May15 FR1_2_2015_05_19__15_35_58__p05.xlsx",83,2,4,24,"DN",2,"ICM","no.litterID","no.experimentID",8.33333333333333,"FR1FR2"
"19May15 FR1_2_2015_05_19__15_35_58__p13.xlsx",83,2,4,26,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"19May15 FR1_2_2015_05_19__15_35_58__p16.xlsx",60,1,4,16,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"19May15 FR1_2_2015_05_19__15_35_58__p17.xlsx",81,2,4,19,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"20Aug15 FR2_FR1_2 E35_2015_08_20__14_28_55__p02_channel=0001_frame=0001_statistics.xlsx",43,1,4,13,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"20Aug15 FR2_FR1_2 E35_2015_08_20__14_28_55__p04_channel=0001_frame=0001_statistics.xlsx",61,1,4,25,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"20Aug15 FR2_FR1_2 E35_2015_08_20__14_28_55__p06_channel=0001_frame=0001_statistics.xlsx",62,1,4,26,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"20Aug15 FR2_FR1_2 E35_2015_08_20__14_28_55__p16_channel=0001_frame=0001_statistics.xlsx",65,2,4,28,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"23Jan15 FR1_2_P11.xlsx",90,2,4,21,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"23Jan15 FR1_2_P7.xlsx",61,1,4,18,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"23Jan15 FR1_2_P9.xlsx",82,2,4,21,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"26Mar15 FR2 E35_2015_03_26__11_13_51__p1.xlsx",65,2,4,34,"DN",1,"ICM","no.litterID","no.experimentID",2.94117647058824,"FR1FR2"
"26Mar15 FR2 E35_2015_03_26__11_13_51__p2.xlsx",83,2,4,28,"DN",2,"ICM","no.litterID","no.experimentID",7.14285714285714,"FR1FR2"
"26Mar15 FR2 E35_2015_03_26__11_13_51__p4.xlsx",82,2,4,22,"DN",2,"ICM","no.litterID","no.experimentID",9.09090909090909,"FR1FR2"
"26Mar15 FR2 E35_2015_03_26__11_13_51__p6.xlsx",66,2,4,29,"DN",3,"ICM","no.litterID","no.experimentID",10.3448275862069,"FR1FR2"
"26Mar15 FR2 E35_2015_03_26__11_13_51__p7.xlsx",87,2,4,28,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"26Mar15 FR2 E35_2015_03_26__11_13_51__p8.xlsx",60,1,4,25,"DN",2,"ICM","no.litterID","no.experimentID",8,"FR1FR2"
"27Mar15Cdx2G6Nan_p2.xlsx",54,1,4,18,"DN",5,"ICM","no.litterID","no.experimentID",27.7777777777778,"FR1FR2"
"P3_channel=0001_frame=0001_statistics.xlsx",121,3,4,38,"DN",1,"ICM","no.litterID","no.experimentID",2.63157894736842,"FR1FR2"
"P4_channel=0001_frame=0001_statistics.xlsx",112,3,4,40,"DN",1,"ICM","no.litterID","no.experimentID",2.5,"FR1FR2"
