Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum
121718Abl_ED4,72,I,13682,267.69,351.85,39.005,17.338,2.37E+05,104.3,1.43E+06,169.72,2.32E+06
121718Abl_ED4,73,I,8398,125.21,167.08,40.199,17.853,1.50E+05,147,1.23E+06,163.77,1.38E+06
121718Abl_ED4,74,I,12387,198.2,224.43,41.641,17.212,2.13E+05,70.936,8.79E+05,167.59,2.08E+06
121718Abl_ED4,75,I,12531,469.88,293.34,40.206,17.508,2.19E+05,98.296,1.23E+06,143.34,1.80E+06
121718Abl_ED4,76,I,16982,308.04,163.26,42.721,17.361,2.95E+05,92.203,1.57E+06,181.26,3.08E+06
121718Abl_ED4,77,I,11587,206.39,303.31,39.576,17.318,2.01E+05,67.561,7.83E+05,159.49,1.85E+06
121718Abl_ED4,78,I,22727,88.462,214.89,43.219,18.071,4.11E+05,121.35,2.76E+06,135.27,3.07E+06
121718Abl_ED4,79,I,12909,217.6,353.63,42.644,17.244,2.23E+05,73.912,9.54E+05,177.56,2.29E+06
121718Abl_ED4,80,I,12592,332.13,344.91,43.34,17.252,2.17E+05,67.635,8.52E+05,183.12,2.31E+06
121718Abl_ED4,81,I,6911,156.96,205.68,42.502,17.622,1.22E+05,71.116,4.91E+05,94.539,6.53E+05
121718Abl_ED4,82,I,16987,437.18,233.47,42.529,17.252,2.93E+05,67.089,1.14E+06,140.8,2.39E+06
121718Abl_ED4,83,I,17389,93.12,307.17,44.089,17.402,3.03E+05,93.517,1.63E+06,162.96,2.83E+06
121718Abl_ED4,84,I,21969,425.78,332.4,44.397,17.317,3.80E+05,74.126,1.63E+06,128.45,2.82E+06
121718Abl_ED4,85,I,22019,224.51,198.82,48.297,17.086,3.76E+05,59.69,1.31E+06,129.76,2.86E+06
121718Abl_ED4,86,I,26540,120.01,161.1,48.693,17.333,4.60E+05,94.218,2.50E+06,158.11,4.20E+06
121718Abl_ED4,87,I,21681,202.88,287.86,49.252,17.137,3.72E+05,66.427,1.44E+06,139.43,3.02E+06
121718Abl_ED4,88,I,21506,364.8,220.66,49.859,17.161,3.69E+05,69.607,1.50E+06,202.77,4.36E+06
121718Abl_ED4,89,I,20987,145.02,256.93,48.944,17.213,3.61E+05,69.866,1.47E+06,167.26,3.51E+06
121718Abl_ED4,90,I,16450,407.86,279.93,49.298,17.053,2.81E+05,64.092,1.05E+06,153.29,2.52E+06
121718Abl_ED4,91,I,12042,351.21,323.14,49.634,17.092,2.06E+05,63.662,7.67E+05,114.89,1.38E+06
121718Abl_ED4,92,I,17378,267.61,338.02,48.968,17.134,2.98E+05,60.76,1.06E+06,130.15,2.26E+06
121718Abl_ED4,93,I,7884,335.31,278.67,51.099,17.124,1.35E+05,87.915,6.93E+05,174.24,1.37E+06
121718Abl_ED4,94,I,11349,292.02,233.5,51.456,17.101,1.94E+05,67.168,7.62E+05,179.81,2.04E+06
121718Abl_ED4,95,I,8104,285.74,292.88,51.592,17.066,1.38E+05,57.021,4.62E+05,228.55,1.85E+06
121718Abl_ED4,96,I,6036,387.73,312.22,52.269,16.967,1.02E+05,70.912,4.28E+05,120.12,7.25E+05
