Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum, 
021919Abl_EO5,92,I,14459,392.95,172.13,71.708,18.074,2.61E+05,90.245,1.30E+06,282.08,4.08E+06,
021919Abl_EO5,93,I,35573,247.37,376.35,73.426,17.869,6.36E+05,60.29,2.14E+06,459.14,1.63E+07,
021919Abl_EO5,94,I,26570,216.67,184.85,74.694,17.987,4.78E+05,60.729,1.61E+06,425.95,1.13E+07,
021919Abl_EO5,95,I,26480,202.15,291.76,76.303,17.848,4.73E+05,46.044,1.22E+06,400.96,1.06E+07,
021919Abl_EO5,96,I,24739,409.68,270.9,77.493,18.216,4.51E+05,110.86,2.74E+06,297.26,7.35E+06,
021919Abl_EO5,97,I,21369,311.16,372.66,77.573,18.04,3.86E+05,63.644,1.36E+06,412.28,8.81E+06,
021919Abl_EO5,98,I,15113,271.23,196.03,78.6,17.951,2.71E+05,60.313,9.12E+05,452.94,6.85E+06,
021919Abl_EO5,99,I,15416,357.18,212.22,79.03,18.097,2.79E+05,59.752,9.21E+05,299.88,4.62E+06,
021919Abl_EO5,100,I,11601,350.19,305.87,80.479,18.07,2.10E+05,69.289,8.04E+05,363.09,4.21E+06,
021919Abl_EO5,101,I,13973,285.58,267.65,80.86,17.902,2.50E+05,64.886,9.07E+05,436.73,6.10E+06,
