Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,Identity
111318Abl_DZ4,95,I,11811,117.16,180.88,52.639,17.947,2.12E+05,81.336,9.61E+05,152.64,1.80E+06,TE
111318Abl_DZ4,96,I,15540,184.32,161.67,53.749,17.854,2.77E+05,69.369,1.08E+06,169.48,2.63E+06,TE
111318Abl_DZ4,97,I,9294,340.32,177.25,52.703,17.803,1.65E+05,110.2,1.02E+06,179.96,1.67E+06,TE
111318Abl_DZ4,98,I,15131,229.92,245.98,53.16,27.489,4.16E+05,64.148,9.71E+05,124.73,1.89E+06,PRE
111318Abl_DZ4,99,I,13079,340.06,351,53.669,17.521,2.29E+05,57.81,7.56E+05,88.654,1.16E+06,TE
111318Abl_DZ4,100,I,12432,296.44,215.44,56.671,17.545,2.18E+05,94.83,1.18E+06,209.51,2.60E+06,TE
111318Abl_DZ4,101,I,12749,230.15,221.15,60.062,19.071,2.43E+05,59.919,7.64E+05,133.36,1.70E+06,TE
111318Abl_DZ4,102,I,13588,157.04,247.84,58.716,18.148,2.47E+05,61.457,8.35E+05,120.38,1.64E+06,TE
111318Abl_DZ4,103,I,21214,301.63,290.61,58.936,17.424,3.70E+05,63.307,1.34E+06,184.63,3.92E+06,TE
111318Abl_DZ4,104,I,10896,224.94,287.26,60.269,19.127,2.08E+05,57.908,6.31E+05,123.12,1.34E+06,TE
