"Experiment","Embryo_ID","Experimenter","Treatment","Cell_ID","Identity.man","Size","X","Y","Z","CH1.Avg","CH2.Avg","CH3.Avg","CH4.Avg","CH5.Avg","TE_ICM","Stage","CH1.ebLogCor","CH4.ebLogCor","CH5.ebLogCor","Identity.km","Exp_date","Img_date","Gene1","Gene2","Genotype1","Genotype2","Background","Litter","Cellcount","icm.count","litter.median","CH4.ebLogCor.l","CH5.ebLogCor.l","id.cluster","Identity.hc"
"020614_R3","020614_R3_LM2","NS","Littermate",59,"TE",14118,330.12,152.66,75.277,21.316,29.401,32.221,28.018,44.173,"TE","64_90",5.73590392808912,5.46364233516159,5.43369397010389,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.825907234486736,0.758682593723192,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",60,"TE",11564,206.16,342.28,77.576,12.706,16.762,28.622,23.926,21.362,"TE","64_90",5.30026341903812,5.37083703830712,4.75745312204299,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.811878394132835,0.664262082849518,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",61,"TE",9661,327.74,338.66,78.401,32.414,26.225,32.482,18.335,1.696,"TE","64_90",6.26610725847,5.12803683981329,2.24220104533122,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.775175691399103,0.313068589081438,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",62,"TE",16478,167.77,286.69,79.473,8.0264,15.648,24.387,25.121,12.952,"TE","64_90",4.90837681029745,5.47327175871406,4.2985617284817,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.827362858791559,0.600189112487208,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",63,"TE",15868,353.01,298.36,82.615,22.743,24.983,33.056,38.189,6.6312,"TE","64_90",6.06160250058591,5.98105125004196,3.69778972402726,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.904120949765555,0.516305981585181,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",64,"TE",13761,225.09,168.85,83.699,10.153,16.613,32.921,16.558,19.094,"TE","64_90",5.29366092800527,5.17606023967904,4.77906481493929,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.782435111203822,0.667279627693141,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",65,"TE",9095,261.3,316.86,89.816,11.891,14.41,31.821,13.694,1.276,"TE","64_90",5.66915936866005,5.15929778526757,2.2072134480279,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.779901227849655,0.308183426019942,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",66,"TE",13186,214.26,232.58,91.501,9.8247,10.236,29.981,14.554,26.122,"TE","64_90",5.53818839718866,5.26790107186725,5.26302120470099,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.796318159008283,0.734852312326004,0,"TE"
"020614_R3","020614_R3_LM3","NS","Littermate",1,"TE",3267,205.66,253.95,2.4034,113.13,109.82,28.114,123.76,9.0539,"TE","64_90",4.80689926833312,4.90235962597472,2.26958570608112,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",74,26,70,0.741061371292794,0.316892187826652,0,"TE"
"020614_R3","020614_R3_LM3","NS","Littermate",3,"TE",6922,201.94,204.23,7.6515,101.77,79.95,29.725,134.65,9.423,"TE","64_90",4.87218690713025,5.17014972976165,2.45448947522825,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",74,26,70,0.781541653579617,0.342709481170292,0,"TE"
"020614_R3","020614_R3_LM3","NS","Littermate",4,"TE",16404,271.59,201.54,8.6692,84.152,89.955,32.018,83.213,7.8328,"TE","64_90",4.71527766597959,4.7244502528232,2.29776583232729,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",74,26,70,0.714167839587173,0.320826853891675,0,"TE"
"020614_R3","020614_R3_LM3","NS","Littermate",5,"TE",5731,269.8,312.35,7.2413,129.52,96.021,31.633,123.31,7.6896,"TE","64_90",5.0999324235008,5.06783330514568,2.23987788736406,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",74,26,70,0.766075071011919,0.312744216836359,0,"TE"
"020614_R3","020614_R3_LM3","NS","Littermate",6,"TE",8409,343.58,235.44,13.527,66.935,54.641,31.839,78.709,27.56,"TE","64_90",4.64475966337424,4.83861625145288,3.68996876874838,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",74,26,70,0.731425653773479,0.515213976281051,0,"TE"
