"Embryo_ID","Identity.hc","lin.count","Litter","Experiment","Treatment","Embryo_size","TE_ICM","Cellcount","icm.count","H_genotype","D_genotype","t0.donor","donor.end","cell_type","lin.type","pc.lin"
"011017Xim_WT_AB5","TE",69,"AB","011017Xim_WT_AB","Chimera","Single","TE",102,33,"wt","CAG:H2B-GFP",50,"[80,100]","donor",34,49.2753623188406
"011017Xim_WT_AB6","DP",2,"AB","011017Xim_WT_AB","Chimera","Single","ICM",60,18,"wt","CAG:H2B-GFP",50,"[60,80)","host",0,0
"011017Xim_WT_AB6","DP",2,"AB","011017Xim_WT_AB","Chimera","Single","ICM",60,18,"wt","CAG:H2B-GFP",50,"[60,80)","donor",2,100
"011017Xim_WT_AB6","EPI",4,"AB","011017Xim_WT_AB","Chimera","Single","ICM",60,18,"wt","CAG:H2B-GFP",50,"[60,80)","host",2,50
"011017Xim_WT_AB6","EPI",4,"AB","011017Xim_WT_AB","Chimera","Single","ICM",60,18,"wt","CAG:H2B-GFP",50,"[60,80)","donor",2,50
"011017Xim_WT_AB6","PRE",12,"AB","011017Xim_WT_AB","Chimera","Single","ICM",60,18,"wt","CAG:H2B-GFP",50,"[60,80)","host",4,33.3333333333333
"011017Xim_WT_AB6","PRE",12,"AB","011017Xim_WT_AB","Chimera","Single","ICM",60,18,"wt","CAG:H2B-GFP",50,"[60,80)","donor",8,66.6666666666667
"011017Xim_WT_AB6","TE",42,"AB","011017Xim_WT_AB","Chimera","Single","TE",60,18,"wt","CAG:H2B-GFP",50,"[60,80)","host",22,52.3809523809524
"011017Xim_WT_AB6","TE",42,"AB","011017Xim_WT_AB","Chimera","Single","TE",60,18,"wt","CAG:H2B-GFP",50,"[60,80)","donor",20,47.6190476190476
"011017Xim_WT_AB7","DP",4,"AB","011017Xim_WT_AB","Chimera","Single","ICM",57,18,"wt","CAG:H2B-GFP",50,"[80,100]","host",0,0
"011017Xim_WT_AB7","DP",4,"AB","011017Xim_WT_AB","Chimera","Single","ICM",57,18,"wt","CAG:H2B-GFP",50,"[80,100]","donor",4,100
"011017Xim_WT_AB7","EPI",7,"AB","011017Xim_WT_AB","Chimera","Single","ICM",57,18,"wt","CAG:H2B-GFP",50,"[80,100]","host",0,0
"011017Xim_WT_AB7","EPI",7,"AB","011017Xim_WT_AB","Chimera","Single","ICM",57,18,"wt","CAG:H2B-GFP",50,"[80,100]","donor",7,100
"011017Xim_WT_AB7","PRE",7,"AB","011017Xim_WT_AB","Chimera","Single","ICM",57,18,"wt","CAG:H2B-GFP",50,"[80,100]","host",1,14.2857142857143
"011017Xim_WT_AB7","PRE",7,"AB","011017Xim_WT_AB","Chimera","Single","ICM",57,18,"wt","CAG:H2B-GFP",50,"[80,100]","donor",6,85.7142857142857
"011017Xim_WT_AB7","TE",39,"AB","011017Xim_WT_AB","Chimera","Single","TE",57,18,"wt","CAG:H2B-GFP",50,"[80,100]","host",12,30.7692307692308
"011017Xim_WT_AB7","TE",39,"AB","011017Xim_WT_AB","Chimera","Single","TE",57,18,"wt","CAG:H2B-GFP",50,"[80,100]","donor",27,69.2307692307692
"011017Xim_WT_AB8","EPI",10,"AB","011017Xim_WT_AB","Chimera","Single","ICM",87,30,"wt","CAG:H2B-GFP",50,"[20,40)","donor",6,60
"011017Xim_WT_AB8","EPI",10,"AB","011017Xim_WT_AB","Chimera","Single","ICM",87,30,"wt","CAG:H2B-GFP",50,"[20,40)","host",4,40
"011017Xim_WT_AB8","PRE",20,"AB","011017Xim_WT_AB","Chimera","Single","ICM",87,30,"wt","CAG:H2B-GFP",50,"[20,40)","host",16,80
"011017Xim_WT_AB8","PRE",20,"AB","011017Xim_WT_AB","Chimera","Single","ICM",87,30,"wt","CAG:H2B-GFP",50,"[20,40)","donor",4,20
"011017Xim_WT_AB8","TE",57,"AB","011017Xim_WT_AB","Chimera","Single","TE",87,30,"wt","CAG:H2B-GFP",50,"[20,40)","donor",24,42.1052631578947
"011017Xim_WT_AB8","TE",57,"AB","011017Xim_WT_AB","Chimera","Single","TE",87,30,"wt","CAG:H2B-GFP",50,"[20,40)","host",33,57.8947368421053
"011017Xim_WT_AB9","DP",6,"AB","011017Xim_WT_AB","Chimera","Single","ICM",94,30,"wt","CAG:H2B-GFP",50,"[20,40)","donor",3,50
"011017Xim_WT_AB9","DP",6,"AB","011017Xim_WT_AB","Chimera","Single","ICM",94,30,"wt","CAG:H2B-GFP",50,"[20,40)","host",3,50
"011017Xim_WT_AB9","EPI",6,"AB","011017Xim_WT_AB","Chimera","Single","ICM",94,30,"wt","CAG:H2B-GFP",50,"[20,40)","host",3,50
"011017Xim_WT_AB9","EPI",6,"AB","011017Xim_WT_AB","Chimera","Single","ICM",94,30,"wt","CAG:H2B-GFP",50,"[20,40)","donor",3,50
"011017Xim_WT_AB9","PRE",18,"AB","011017Xim_WT_AB","Chimera","Single","ICM",94,30,"wt","CAG:H2B-GFP",50,"[20,40)","donor",3,16.6666666666667
"011017Xim_WT_AB9","PRE",18,"AB","011017Xim_WT_AB","Chimera","Single","ICM",94,30,"wt","CAG:H2B-GFP",50,"[20,40)","host",15,83.3333333333333
"011017Xim_WT_AB9","TE",64,"AB","011017Xim_WT_AB","Chimera","Single","TE",94,30,"wt","CAG:H2B-GFP",50,"[20,40)","host",28,43.75
"011017Xim_WT_AB9","TE",64,"AB","011017Xim_WT_AB","Chimera","Single","TE",94,30,"wt","CAG:H2B-GFP",50,"[20,40)","donor",36,56.25
"011217Xim_WT_AC1","DP",3,"AC","011217Xim_WT_AC","Chimera","Single","ICM",103,18,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011217Xim_WT_AC1","DP",3,"AC","011217Xim_WT_AC","Chimera","Single","ICM",103,18,"wt","CAG:H2B-GFP",75,"[80,100]","donor",3,100
"011217Xim_WT_AC1","EPI",9,"AC","011217Xim_WT_AC","Chimera","Single","ICM",103,18,"wt","CAG:H2B-GFP",75,"[80,100]","donor",9,100
"011217Xim_WT_AC1","EPI",9,"AC","011217Xim_WT_AC","Chimera","Single","ICM",103,18,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011217Xim_WT_AC1","PRE",6,"AC","011217Xim_WT_AC","Chimera","Single","ICM",103,18,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011217Xim_WT_AC1","PRE",6,"AC","011217Xim_WT_AC","Chimera","Single","ICM",103,18,"wt","CAG:H2B-GFP",75,"[80,100]","donor",6,100
"011217Xim_WT_AC1","TE",85,"AC","011217Xim_WT_AC","Chimera","Single","TE",103,18,"wt","CAG:H2B-GFP",75,"[80,100]","host",23,27.0588235294118
"011217Xim_WT_AC1","TE",85,"AC","011217Xim_WT_AC","Chimera","Single","TE",103,18,"wt","CAG:H2B-GFP",75,"[80,100]","donor",62,72.9411764705882
