"Exp_date","Embryo_ID","Litter","Genotype1","Stage.t0","Cellcount","Treatment","ES_culture","ESC_line","ESC_genotype","icm.count","D_cells","EPI","ESC","PRE","esc.end"
20180412,"041218Xim_WT_BH5","BH","wt","blastocyst",100,"Control","S/LIF","H2B-tdTomato","no.esc",28,"0",8,0,20,"0"
20180412,"041218Xim_WT_BH7","BH","wt","blastocyst",87,"Control","S/LIF","H2B-tdTomato","no.esc",19,"0",8,0,10,"0"
20180412,"041218Xim_WT_BH8","BH","wt","blastocyst",72,"Control","S/LIF","H2B-tdTomato","no.esc",11,"0",1,0,9,"0"
20180412,"041218Xim_WT_BI1","BI","wt","blastocyst",66,"Littermate","S/LIF","H2B-tdTomato","no.esc",23,"0",5,0,2,"0"
20180412,"041218Xim_WT_BI10","BI","wt","blastocyst",131,"Chimera","S/LIF","H2B-tdTomato","wt",42,"8-12",20,0,22,"0"
20180412,"041218Xim_WT_BI2","BI","wt","blastocyst",71,"Littermate","S/LIF","H2B-tdTomato","no.esc",29,"0",9,0,12,"0"
20180412,"041218Xim_WT_BI3","BI","wt","blastocyst",104,"Control","S/LIF","H2B-tdTomato","no.esc",17,"0",8,0,9,"0"
20180412,"041218Xim_WT_BI4","BI","wt","blastocyst",113,"Control","S/LIF","H2B-tdTomato","no.esc",24,"0",13,0,11,"0"
20180412,"041218Xim_WT_BI5","BI","wt","blastocyst",102,"Control","S/LIF","H2B-tdTomato","no.esc",23,"0",11,0,12,"0"
20180412,"041218Xim_WT_BI6","BI","wt","blastocyst",100,"Control","S/LIF","H2B-tdTomato","no.esc",22,"0",7,0,13,"0"
20180412,"041218Xim_WT_BI7","BI","wt","blastocyst",123,"Control","S/LIF","H2B-tdTomato","no.esc",23,"0",11,0,12,"0"
20180412,"041218Xim_WT_BI9","BI","wt","blastocyst",115,"Chimera","S/LIF","H2B-tdTomato","wt",36,"8-12",15,0,21,"0"
20180412,"041218Xim_WT_BJ1","BJ","wt","blastocyst",81,"Control","S/LIF","H2B-tdTomato","no.esc",11,"0",4,0,6,"0"
20180412,"041218Xim_WT_BJ2","BJ","wt","blastocyst",75,"Control","S/LIF","H2B-tdTomato","no.esc",19,"0",8,0,11,"0"
20180412,"041218Xim_WT_BJ3","BJ","wt","blastocyst",64,"Control","S/LIF","H2B-tdTomato","no.esc",19,"0",12,0,7,"0"
20180713,"071318Xim_WT_BV1","BV","wt","8cell",129,"Control","S/LIF","H2B-tdTomato","no.esc",32,"0",4,0,28,"0"
20180713,"071318Xim_WT_BV2","BV","wt","8cell",129,"Chimera","S/LIF","H2B-tdTomato","wt",30,"8-12",13,0,17,"0"
20180715,"071518Xim_F4_BY1","BY","ko","blastocyst",130,"Control","S/LIF","H2B-tdTomato","no.esc",64,"0",63,0,0,"0"
20180715,"071518Xim_WT_BX1","BX","wt","blastocyst",136,"Control","S/LIF","H2B-tdTomato","no.esc",41,"0",20,0,21,"0"
20180715,"071518Xim_WT_BX3","BX","wt","blastocyst",103,"Control","S/LIF","H2B-tdTomato","no.esc",33,"0",13,0,20,"0"
20180715,"071518Xim_WT_BX4","BX","wt","blastocyst",131,"Control","S/LIF","H2B-tdTomato","no.esc",34,"0",14,0,20,"0"
20180715,"071518Xim_WT_BX5","BX","wt","blastocyst",139,"Control","S/LIF","H2B-tdTomato","no.esc",37,"0",14,0,23,"0"
20180716,"071618Xim_WT_BZ1","BZ","wt","blastocyst",81,"Littermate","S/LIF","H2B-tdTomato","no.esc",29,"0",10,0,16,"0"
20180716,"071618Xim_WT_BZ10","BZ","wt","blastocyst",107,"Control","S/LIF","H2B-tdTomato","no.esc",32,"0",14,0,18,"0"
20180716,"071618Xim_WT_BZ2","BZ","wt","blastocyst",75,"Littermate","S/LIF","H2B-tdTomato","no.esc",21,"0",6,0,9,"0"
20180716,"071618Xim_WT_BZ7","BZ","wt","blastocyst",114,"Control","S/LIF","H2B-tdTomato","no.esc",32,"0",9,0,23,"0"
20180716,"071618Xim_WT_CA1","CA","wt","blastocyst",88,"Littermate","no.esc","no.esc","no.esc",28,"0",10,0,9,"0"
20180716,"071618Xim_WT_CA2","CA","wt","blastocyst",116,"Littermate","no.esc","no.esc","no.esc",40,"0",19,0,18,"0"
20180716,"071618Xim_WT_CA3","CA","wt","blastocyst",113,"Littermate","no.esc","no.esc","no.esc",31,"0",15,0,10,"0"
20180716,"071618Xim_WT_CA4","CA","wt","blastocyst",166,"Control","no.esc","no.esc","no.esc",58,"0",30,0,27,"0"
20180716,"071618Xim_WT_CA5","CA","wt","blastocyst",124,"Control","no.esc","no.esc","no.esc",42,"0",15,0,27,"0"
20180716,"071618Xim_WT_CA6","CA","wt","blastocyst",135,"Control","no.esc","no.esc","no.esc",38,"0",12,0,23,"0"
20180716,"071618Xim_WT_CA7","CA","wt","blastocyst",142,"Control","no.esc","no.esc","no.esc",34,"0",14,0,18,"0"
20180716,"071618Xim_WT_CA8","CA","wt","blastocyst",131,"Control","no.esc","no.esc","no.esc",55,"0",22,0,33,"0"
20180724,"072418Xim_F4_CE1","CE","ko","blastocyst",58,"Littermate","S/LIF","H2B-tdTomato","no.esc",27,"0",23,0,3,"0"
20180724,"072418Xim_F4_CE2","CE","fl/ko","blastocyst",64,"Littermate","S/LIF","H2B-tdTomato","no.esc",27,"0",7,0,1,"0"
20180724,"072418Xim_F4_CE3","CE","ko","blastocyst",121,"Control","S/LIF","H2B-tdTomato","no.esc",54,"0",54,0,0,"0"
20180724,"072418Xim_F4_CE5","CE","ko","blastocyst",122,"Control","S/LIF","H2B-tdTomato","no.esc",47,"0",47,0,0,"0"
20180724,"072418Xim_WT_CC1","CC","wt","blastocyst",69,"Littermate","S/LIF","H2B-tdTomato","no.esc",26,"0",8,0,2,"0"
20180724,"072418Xim_WT_CC2","CC","wt","blastocyst",64,"Littermate","S/LIF","H2B-tdTomato","no.esc",30,"0",5,0,3,"0"
20180724,"072418Xim_WT_CC3","CC","wt","blastocyst",111,"Control","S/LIF","H2B-tdTomato","no.esc",36,"0",11,0,25,"0"
20180724,"072418Xim_WT_CC4","CC","wt","blastocyst",117,"Control","S/LIF","H2B-tdTomato","no.esc",42,"0",6,0,35,"0"
20180801,"080118Xim_F4_CJ1","CJ","ko","blastocyst",74,"Littermate","2i/LIF","H2B-tdTomato","no.esc",26,"0",17,0,0,"0"
20180801,"080118Xim_F4_CJ2","CJ","ko","blastocyst",67,"Littermate","2i/LIF","H2B-tdTomato","no.esc",26,"0",22,0,0,"0"
20180801,"080118Xim_F4_CJ3","CJ","ko","blastocyst",120,"Control","2i/LIF","H2B-tdTomato","no.esc",58,"0",58,0,0,"0"
20180801,"080118Xim_F4_CJ4","CJ","ko","blastocyst",110,"Control","2i/LIF","H2B-tdTomato","no.esc",37,"0",37,0,0,"0"
20180801,"080118Xim_WT_CF1","CF","wt","8cell",103,"Control","2i/LIF","H2B-tdTomato","no.esc",13,"0",6,0,6,"0"
20180801,"080118Xim_WT_CF2","CF","wt","8cell",125,"Control","2i/LIF","H2B-tdTomato","no.esc",20,"0",7,0,12,"0"
