"Exp_date","Img_date","Experiment","Litter","Embryo_ID","Cellcount","TE_ICM","Treatment","Stage","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","litter.median","Identity.hc","count","pc.icm"
20170203,20170207,"020317Spry_AA","AA","020317Spry_AA3",32,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",14,34.9650145772595,"PRE",0,0
20170203,20170207,"020317Spry_AA","AA","020317Spry_AA4",32,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",13,34.9650145772595,"PRE",0,0
20170203,20170207,"020317Spry_AA","AA","020317Spry_AA5",44,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",16,34.9650145772595,"PRE",0,0
20170203,20170207,"020317Spry_AA","AA","020317Spry_AA6",30,"ICM","Littermate","16_32","CD1/mixed","Spry4","het","any","wt",10,34.9650145772595,"PRE",0,0
20170203,20170207,"020317Spry_AA","AA","020317Spry_AA7",34,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",14,34.9650145772595,"PRE",4,28.5714285714286
20170203,20170207,"020317Spry_AA","AA","020317Spry_AA8",34,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",14,34.9650145772595,"PRE",0,0
20170203,20170207,"020317Spry_AA","AA","020317Spry_AA9",30,"ICM","Littermate","16_32","CD1/mixed","Spry4","het","any","wt",12,34.9650145772595,"PRE",0,0
20170203,20170207,"020317Spry_AB","AB","020317Spry_AB1",191,"ICM","Littermate",">150","CD1/mixed","Spry4","wt","any","wt",78,175,"PRE",51,65.3846153846154
20170203,20170207,"020317Spry_AB","AB","020317Spry_AB2",155,"ICM","Littermate",">150","CD1/mixed","Spry4","het","any","wt",72,175,"PRE",49,68.0555555555556
20170203,20170207,"020317Spry_AB","AB","020317Spry_AB3",197,"ICM","Littermate",">150","CD1/mixed","Spry4","het","any","wt",89,175,"PRE",57,64.0449438202247
20170203,20170207,"020317Spry_AB","AB","020317Spry_AB4",121,"ICM","Littermate","120_150","CD1/mixed","Spry4","wt","any","wt",57,175,"PRE",34,59.6491228070175
20170203,20170207,"020317Spry_AB","AB","020317Spry_AB5",187,"ICM","Littermate",">150","CD1/mixed","Spry4","wt","any","wt",79,175,"PRE",54,68.3544303797468
20170206,20170220,"020617Spry_AC","AC","020617Spry_AC1",88,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",36,100.409395973154,"PRE",16,44.4444444444444
20170206,20170220,"020617Spry_AC","AC","020617Spry_AC2",113,"ICM","Littermate","90_120","CD1/mixed","Spry4","wt","any","wt",40,100.409395973154,"PRE",18,45
20170206,20170220,"020617Spry_AC","AC","020617Spry_AC3",97,"ICM","Littermate","90_120","CD1/mixed","Spry4","wt","any","wt",37,100.409395973154,"PRE",14,37.8378378378378
20170220,20170221,"022017Spry_AE","AE","022017Spry_AE1",74,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",32,68.08,"PRE",9,28.125
20170220,20170221,"022017Spry_AE","AE","022017Spry_AE10",59,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",26,68.08,"PRE",1,3.84615384615385
20170220,20170221,"022017Spry_AE","AE","022017Spry_AE11",51,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",20,68.08,"PRE",1,5
20170220,20170221,"022017Spry_AE","AE","022017Spry_AE12",65,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",25,68.08,"PRE",8,32
20170220,20170221,"022017Spry_AE","AE","022017Spry_AE13",73,"ICM","Littermate","64_90","CD1/mixed","Spry4","wt","any","wt",29,68.08,"PRE",8,27.5862068965517
20170220,20170221,"022017Spry_AE","AE","022017Spry_AE2",51,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",17,68.08,"PRE",0,0
20170220,20170221,"022017Spry_AE","AE","022017Spry_AE3",90,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",31,68.08,"PRE",12,38.7096774193548
20170220,20170221,"022017Spry_AE","AE","022017Spry_AE4",43,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",16,68.08,"PRE",1,6.25
20170220,20170221,"022017Spry_AE","AE","022017Spry_AE5",68,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",27,68.08,"PRE",13,48.1481481481481
20170220,20170221,"022017Spry_AE","AE","022017Spry_AE6",89,"ICM","Littermate","64_90","CD1/mixed","Spry4","wt","any","wt",29,68.08,"PRE",11,37.9310344827586
20170220,20170221,"022017Spry_AE","AE","022017Spry_AE7",61,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",16,68.08,"PRE",1,6.25
20170220,20170221,"022017Spry_AE","AE","022017Spry_AE8",62,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",29,68.08,"PRE",15,51.7241379310345
20170220,20170221,"022017Spry_AE","AE","022017Spry_AE9",64,"ICM","Littermate","64_90","CD1/mixed","Spry4","wt","any","wt",28,68.08,"PRE",6,21.4285714285714
20170220,20170302,"022017Spry_AF","AF","022017Spry_AF13",32,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",17,26.0963455149502,"PRE",0,0
20170220,20170302,"022017Spry_AF","AF","022017Spry_AF9",32,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",14,26.0963455149502,"PRE",0,0
20170418,20170510,"041817Spry_AI","AI","041817Spry_AI1",103,"ICM","Littermate","90_120","CD1/mixed","Spry4","wt","any","wt",28,89.2727272727273,"PRE",18,64.2857142857143
20170418,20170510,"041817Spry_AI","AI","041817Spry_AI3",85,"ICM","Littermate","64_90","CD1/mixed","Spry4","wt","any","wt",25,89.2727272727273,"PRE",11,44
20170418,20170510,"041817Spry_AI","AI","041817Spry_AI4",71,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",23,89.2727272727273,"PRE",13,56.5217391304348
20170418,20170510,"041817Spry_AI","AI","041817Spry_AI5",80,"ICM","Littermate","64_90","CD1/mixed","Spry4","wt","any","wt",29,89.2727272727273,"PRE",17,58.6206896551724
20170418,20170510,"041817Spry_AI","AI","041817Spry_AI7",95,"ICM","Littermate","90_120","CD1/mixed","Spry4","wt","any","wt",30,89.2727272727273,"PRE",17,56.6666666666667
20170418,20170510,"041817Spry_AI","AI","041817Spry_AI8",94,"ICM","Littermate","90_120","CD1/mixed","Spry4","wt","any","wt",23,89.2727272727273,"PRE",11,47.8260869565217
20170426,20170510,"042617Spry_AK","AK","042617Spry_AK1",75,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",30,87.2222222222222,"PRE",10,33.3333333333333
20170426,20170510,"042617Spry_AK","AK","042617Spry_AK10",81,"ICM","Littermate","64_90","CD1/mixed","Spry4","ko","any","wt",27,87.2222222222222,"PRE",14,51.8518518518518
20170426,20170510,"042617Spry_AK","AK","042617Spry_AK2",76,"ICM","Littermate","64_90","CD1/mixed","Spry4","wt","any","wt",27,87.2222222222222,"PRE",8,29.6296296296296
20170426,20170510,"042617Spry_AK","AK","042617Spry_AK3",90,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",32,87.2222222222222,"PRE",22,68.75
20170426,20170510,"042617Spry_AK","AK","042617Spry_AK4",90,"ICM","Littermate","90_120","CD1/mixed","Spry4","ko","any","wt",30,87.2222222222222,"PRE",10,33.3333333333333
20170426,20170510,"042617Spry_AK","AK","042617Spry_AK5",57,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",24,87.2222222222222,"PRE",1,4.16666666666667
20170426,20170510,"042617Spry_AK","AK","042617Spry_AK7",107,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",42,87.2222222222222,"PRE",23,54.7619047619048
20170426,20170510,"042617Spry_AK","AK","042617Spry_AK8",96,"ICM","Littermate","90_120","CD1/mixed","Spry4","wt","any","wt",33,87.2222222222222,"PRE",13,39.3939393939394
20170426,20170510,"042617Spry_AK","AK","042617Spry_AK9",93,"ICM","Littermate","90_120","CD1/mixed","Spry4","ko","any","wt",32,87.2222222222222,"PRE",21,65.625
20170428,20170510,"042817Spry_AL","AL","042817Spry_AL1",99,"ICM","Littermate","90_120","CD1/mixed","Spry4","wt","any","wt",30,94.0990712074303,"PRE",17,56.6666666666667
20170428,20170510,"042817Spry_AL","AL","042817Spry_AL2",110,"ICM","Littermate","90_120","CD1/mixed","Spry4","wt","any","wt",43,94.0990712074303,"PRE",24,55.8139534883721
20170428,20170510,"042817Spry_AL","AL","042817Spry_AL3",89,"ICM","Littermate","64_90","CD1/mixed","Spry4","wt","any","wt",23,94.0990712074303,"PRE",14,60.8695652173913
20170428,20170510,"042817Spry_AL","AL","042817Spry_AL4",96,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",42,94.0990712074303,"PRE",22,52.3809523809524
20170428,20170510,"042817Spry_AL","AL","042817Spry_AL5",89,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",35,94.0990712074303,"PRE",16,45.7142857142857
20170428,20170510,"042817Spry_AL","AL","042817Spry_AL6",98,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",34,94.0990712074303,"PRE",25,73.5294117647059
20170428,20170510,"042817Spry_AL","AL","042817Spry_AL8",65,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",26,94.0990712074303,"PRE",8,30.7692307692308
20170504,20170511,"050417Spry_AM","AM","050417Spry_AM1",214,"ICM","Littermate",">150","CD1/mixed","Spry4","het","any","wt",86,189.177777777778,"PRE",45,52.3255813953488
20170504,20170511,"050417Spry_AM","AM","050417Spry_AM2",182,"ICM","Littermate",">150","CD1/mixed","Spry4","ko","any","wt",82,189.177777777778,"PRE",56,68.2926829268293
20170504,20170511,"050417Spry_AM","AM","050417Spry_AM3",219,"ICM","Littermate",">150","CD1/mixed","Spry4","het","any","wt",84,189.177777777778,"PRE",68,80.9523809523809
20170504,20170511,"050417Spry_AM","AM","050417Spry_AM4",180,"ICM","Littermate",">150","CD1/mixed","Spry4","ko","any","wt",76,189.177777777778,"PRE",56,73.6842105263158
20170504,20170511,"050417Spry_AM","AM","050417Spry_AM5",223,"ICM","Littermate",">150","CD1/mixed","Spry4","het","any","wt",97,189.177777777778,"PRE",66,68.0412371134021
20170504,20170511,"050417Spry_AM","AM","050417Spry_AM6",127,"ICM","Littermate","120_150","CD1/mixed","Spry4","ko","any","wt",40,189.177777777778,"PRE",27,67.5
20170504,20170511,"050417Spry_AM","AM","050417Spry_AM7",115,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",40,189.177777777778,"PRE",28,70
20170504,20170511,"050417Spry_AN","AN","050417Spry_AN1",66,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",33,80.6340425531915,"PRE",10,30.3030303030303
20170504,20170511,"050417Spry_AN","AN","050417Spry_AN2",72,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",21,80.6340425531915,"PRE",9,42.8571428571429
20170504,20170511,"050417Spry_AN","AN","050417Spry_AN3",97,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",25,80.6340425531915,"PRE",13,52
20170522,20170531,"052217Spry_AO","AO","052217Spry_AO2",142,"ICM","Littermate","120_150","CD1/mixed","Spry4","het","any","wt",53,131.232061068702,"PRE",35,66.0377358490566
20170522,20170531,"052217Spry_AO","AO","052217Spry_AO3",128,"ICM","Littermate","120_150","CD1/mixed","Spry4","het","any","wt",50,131.232061068702,"PRE",29,58
20170522,20170531,"052217Spry_AO","AO","052217Spry_AO5",128,"ICM","Littermate","120_150","CD1/mixed","Spry4","ko","any","wt",36,131.232061068702,"PRE",15,41.6666666666667
20170522,20170531,"052217Spry_AO","AO","052217Spry_AO6",129,"ICM","Littermate","120_150","CD1/mixed","Spry4","het","any","wt",49,131.232061068702,"PRE",30,61.2244897959184
20170522,20170531,"052217Spry_AO","AO","052217Spry_AO7",128,"ICM","Littermate","120_150","CD1/mixed","Spry4","ko","any","wt",44,131.232061068702,"PRE",25,56.8181818181818
20170522,20170531,"052217Spry_AP","AP","052217Spry_AP2",123,"ICM","Littermate","120_150","CD1/mixed","Spry4","het","any","wt",42,145.745152354571,"PRE",23,54.7619047619048
20170522,20170531,"052217Spry_AP","AP","052217Spry_AP3",137,"ICM","Littermate","120_150","CD1/mixed","Spry4","het","any","wt",52,145.745152354571,"PRE",34,65.3846153846154
20170522,20170531,"052217Spry_AP","AP","052217Spry_AP4",163,"ICM","Littermate",">150","CD1/mixed","Spry4","ko","any","wt",61,145.745152354571,"PRE",43,70.4918032786885
20170522,20170531,"052217Spry_AP","AP","052217Spry_AP5",144,"ICM","Littermate","120_150","CD1/mixed","Spry4","het","any","wt",59,145.745152354571,"PRE",40,67.7966101694915
20170522,20170531,"052217Spry_AP","AP","052217Spry_AP6",155,"ICM","Littermate",">150","CD1/mixed","Spry4","wt","any","wt",45,145.745152354571,"PRE",23,51.1111111111111
20170524,20170606,"052417Spry_AQ","AQ","052417Spry_AQ1",162,"ICM","Littermate",">150","CD1/mixed","Spry4","het","any","wt",72,151.656,"PRE",34,47.2222222222222
20170524,20170606,"052417Spry_AQ","AQ","052417Spry_AQ2",128,"ICM","Littermate","120_150","CD1/mixed","Spry4","wt","any","wt",33,151.656,"PRE",16,48.4848484848485
20170524,20170606,"052417Spry_AQ","AQ","052417Spry_AQ4",143,"ICM","Littermate","120_150","CD1/mixed","Spry4","het","any","wt",48,151.656,"PRE",30,62.5
20170524,20170606,"052417Spry_AQ","AQ","052417Spry_AQ5",173,"ICM","Littermate",">150","CD1/mixed","Spry4","ko","any","wt",84,151.656,"PRE",58,69.0476190476191
20170524,20170606,"052417Spry_AQ","AQ","052417Spry_AQ6",144,"ICM","Littermate","120_150","CD1/mixed","Spry4","ko","any","wt",64,151.656,"PRE",45,70.3125
20170919,20170926,"091917Spry_AU","AU","091917Spry_AU1",94,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",33,98.5118644067797,"PRE",18,54.5454545454545
20170919,20170926,"091917Spry_AU","AU","091917Spry_AU2",97,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",31,98.5118644067797,"PRE",18,58.0645161290323
20170919,20170926,"091917Spry_AU","AU","091917Spry_AU3",104,"ICM","Littermate","90_120","CD1/mixed","Spry4","ko","any","wt",34,98.5118644067797,"PRE",17,50
20170929,20171004,"092917Spry_AV","AV","092917Spry_AV5",32,"ICM","Littermate","32_64","CD1/mixed","Spry4","ko","any","wt",11,25.77,"PRE",0,0
20161012,20161025,"101216Spry4_A","A","101216Spry4_A1",159,"ICM","Littermate",">150","CD1/mixed","Spry4","het","any","wt",60,107.789724072312,"PRE",34,56.6666666666667
20161012,20161025,"101216Spry4_A","A","101216Spry4_A2",142,"ICM","Littermate","120_150","CD1/mixed","Spry4","het","any","wt",50,107.789724072312,"PRE",22,44
20161012,20161025,"101216Spry4_A","A","101216Spry4_A3",176,"ICM","Littermate",">150","CD1/mixed","Spry4","wt","any","wt",64,107.789724072312,"PRE",38,59.375
20161014,20161025,"101416Spry4_Ba","B","101416Spry4_B1",48,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",16,89.640171858217,"PRE",1,6.25
20161014,20161025,"101416Spry4_Ba","B","101416Spry4_B2",55,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",26,89.640171858217,"PRE",2,7.69230769230769
20161014,20161025,"101416Spry4_Ba","B","101416Spry4_B3",61,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",25,89.640171858217,"PRE",11,44
20161014,20161025,"101416Spry4_Ba","B","101416Spry4_B4",60,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",27,89.640171858217,"PRE",2,7.40740740740741
20161014,20161025,"101416Spry4_Ba","B","101416Spry4_B5",60,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",21,89.640171858217,"PRE",8,38.0952380952381
20161014,20161025,"101416Spry4_Ba","B","101416Spry4_B6",57,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",27,89.640171858217,"PRE",5,18.5185185185185
20161014,20161025,"101416Spry4_Bb","B","101416Spry4_B10",61,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",27,89.640171858217,"PRE",10,37.037037037037
20161014,20161025,"101416Spry4_Bb","B","101416Spry4_B11",48,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",23,89.640171858217,"PRE",5,21.7391304347826
20161014,20161025,"101416Spry4_Bb","B","101416Spry4_B7",62,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",29,89.640171858217,"PRE",11,37.9310344827586
20161014,20161025,"101416Spry4_Bb","B","101416Spry4_B8",56,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",29,89.640171858217,"PRE",12,41.3793103448276
20161014,20161025,"101416Spry4_Bb","B","101416Spry4_B9",40,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",17,89.640171858217,"PRE",5,29.4117647058824
20161017,20161025,"101716Spry_C","C","101716Spry_C1",187,"ICM","Littermate",">150","CD1/mixed","Spry4","het","any","wt",72,106.659178931061,"PRE",44,61.1111111111111
20161017,20161025,"101716Spry_C","C","101716Spry_C2",142,"ICM","Littermate","120_150","CD1/mixed","Spry4","wt","any","wt",45,106.659178931061,"PRE",27,60
20161018,20161025,"101816Spry_D","D","101816Spry_D1",124,"ICM","Littermate","120_150","CD1/mixed","Spry4","wt","any","wt",39,84.2827949901121,"PRE",17,43.5897435897436
20161018,20161025,"101816Spry_D","D","101816Spry_D2",102,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",35,84.2827949901121,"PRE",24,68.5714285714286
20161018,20161025,"101816Spry_D","D","101816Spry_D3",73,"ICM","Littermate","64_90","CD1/mixed","Spry4","wt","any","wt",20,84.2827949901121,"PRE",8,40
20161018,20161025,"101816Spry_D","D","101816Spry_D4",109,"ICM","Littermate","90_120","CD1/mixed","Spry4","wt","any","wt",26,84.28279,"PRE",5,19.2307692307692
20161018,20161025,"101816Spry_D","D","101816Spry_D4",109,"ICM","Littermate","90_120","CD1/mixed","Spry4","wt","any","wt",26,84.2827949901121,"PRE",8,30.7692307692308
20161018,20161025,"101816Spry_D","D","101816Spry_D5",111,"ICM","Littermate","90_120","CD1/mixed","Spry4","wt","any","wt",27,84.28279,"PRE",7,25.9259259259259
20161018,20161025,"101816Spry_D","D","101816Spry_D5",111,"ICM","Littermate","90_120","CD1/mixed","Spry4","wt","any","wt",27,84.2827949901121,"PRE",9,33.3333333333333
20161018,20161025,"101816Spry_D","D","101816Spry_D6",110,"ICM","Littermate","90_120","CD1/mixed","Spry4","wt","any","wt",27,84.2827949901121,"PRE",13,48.1481481481481
20161018,20161025,"101816Spry_Ea","E","101816Spry_E1",63,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",30,55.1236,"PRE",1,3.33333333333333
20161018,20161025,"101816Spry_Ea","E","101816Spry_E2",45,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",18,55.1236,"PRE",0,0
20161018,20161025,"101816Spry_Ea","E","101816Spry_E3",32,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",16,55.1236,"PRE",2,12.5
20161018,20161025,"101816Spry_Ea","E","101816Spry_E4",32,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",16,55.1236,"PRE",0,0
20161018,20161025,"101816Spry_Ea","E","101816Spry_E5",50,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",25,55.1236,"PRE",0,0
20161018,20161025,"101816Spry_Ea","E","101816Spry_E6",52,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",27,55.1236,"PRE",2,7.40740740740741
20161018,20161025,"101816Spry_Eb","E","101816Spry_E10",50,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",19,55.1236,"PRE",2,10.5263157894737
20161018,20161025,"101816Spry_Eb","E","101816Spry_E13",41,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",17,55.1236,"PRE",0,0
20161018,20161025,"101816Spry_Eb","E","101816Spry_E7",40,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",16,55.1236,"PRE",0,0
20161018,20161025,"101816Spry_Eb","E","101816Spry_E8",35,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",17,55.1236,"PRE",0,0
20161018,20161025,"101816Spry_Eb","E","101816Spry_E9",59,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",26,55.1236,"PRE",6,23.0769230769231
20171018,20171025,"101817Spry_BA","BA","101817Spry_BA1",65,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",21,65.9542,"PRE",2,9.52380952380952
20171018,20171025,"101817Spry_BA","BA","101817Spry_BA10",67,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",22,65.9542,"PRE",11,50
20171018,20171025,"101817Spry_BA","BA","101817Spry_BA2",64,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",24,65.9542,"PRE",5,20.8333333333333
20171018,20171025,"101817Spry_BA","BA","101817Spry_BA4",64,"ICM","Littermate","64_90","CD1/mixed","Spry4","ko","any","wt",24,65.9542,"PRE",4,16.6666666666667
20171018,20171025,"101817Spry_BA","BA","101817Spry_BA5",63,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",21,65.9542,"PRE",7,33.3333333333333
20171018,20171025,"101817Spry_BA","BA","101817Spry_BA6",79,"ICM","Littermate","64_90","CD1/mixed","Spry4","ko","any","wt",23,65.9542,"PRE",5,21.7391304347826
20171018,20171025,"101817Spry_BA","BA","101817Spry_BA7",62,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",29,65.9542,"PRE",0,0
20171018,20171025,"101817Spry_BA","BA","101817Spry_BA9",60,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",24,65.9542,"PRE",8,33.3333333333333
20161025,20161102,"102516Spry_H","H","102516Spry_H1",89,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",35,76.53727,"PRE",16,45.7142857142857
20161025,20161102,"102516Spry_H","H","102516Spry_H10",63,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",28,76.53727,"PRE",12,42.8571428571429
20161025,20161102,"102516Spry_H","H","102516Spry_H2",67,"ICM","Littermate","64_90","CD1/mixed","Spry4","wt","any","wt",21,76.53727,"PRE",6,28.5714285714286
20161025,20161102,"102516Spry_H","H","102516Spry_H3",63,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",31,76.53727,"PRE",11,35.4838709677419
20161025,20161102,"102516Spry_H","H","102516Spry_H4",87,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",17,76.53727,"PRE",8,47.0588235294118
20161025,20161102,"102516Spry_H","H","102516Spry_H5",64,"ICM","Littermate","64_90","CD1/mixed","Spry4","wt","any","wt",27,76.53727,"PRE",13,48.1481481481481
20161025,20161102,"102516Spry_H","H","102516Spry_H6",106,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",41,76.53727,"PRE",23,56.0975609756098
20161025,20161102,"102516Spry_H","H","102516Spry_H7",98,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",35,76.53727,"PRE",19,54.2857142857143
20161025,20161102,"102516Spry_H","H","102516Spry_H8",68,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",29,76.53727,"PRE",12,41.3793103448276
20161025,20161102,"102516Spry_H","H","102516Spry_H9",68,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",24,76.53727,"PRE",3,12.5
20161025,20161102,"102516Spry_I","I","102516Spry_I1",91,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",30,87.30876,"PRE",17,56.6666666666667
20161025,20161102,"102516Spry_I","I","102516Spry_I2",97,"ICM","Littermate","90_120","CD1/mixed","Spry4","wt","any","wt",36,87.30876,"PRE",17,47.2222222222222
20161025,20161102,"102516Spry_I","I","102516Spry_I3",105,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",38,87.30876,"PRE",15,39.4736842105263
20161025,20161102,"102516Spry_I","I","102516Spry_I4",114,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",36,87.30876,"PRE",20,55.5555555555556
20161025,20161102,"102516Spry_I","I","102516Spry_I5",104,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",35,87.30876,"PRE",19,54.2857142857143
20161025,20161102,"102516Spry_I","I","102516Spry_I6",86,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",24,87.30876,"PRE",15,62.5
20161025,20161102,"102516Spry_I","I","102516Spry_I7",109,"ICM","Littermate","90_120","CD1/mixed","Spry4","het","any","wt",44,87.30876,"PRE",24,54.5454545454545
20161025,20161102,"102516Spry_I","I","102516Spry_I8",83,"ICM","Littermate","64_90","CD1/mixed","Spry4","wt","any","wt",25,87.30876,"PRE",14,56
20161025,20161102,"102516Spry_I","I","102516Spry_I9",87,"ICM","Littermate","64_90","CD1/mixed","Spry4","wt","any","wt",27,87.30876,"PRE",14,51.8518518518518
