"Embryo_ID","Cellcount","TE_ICM","Treatment","Stage","Gene1","Genotype1","Background","Gene2","Genotype2","icm.count","Identity.man","count","pc.icm"
"AM7",46,"ICM","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",25,"EPI",25,100
"AV1",61,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",34,"EPI",2,5.88235294117647
"AV10",54,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",23,"EPI",0,0
"AV11",58,"ICM","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",25,"EPI",25,100
"AV3",65,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",29,"EPI",7,24.1379310344828
"AV4",54,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",25,"EPI",5,20
"AV6",54,"ICM","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",30,"EPI",30,100
"AV8",58,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",25,"EPI",1,4
"AV9",54,"ICM","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",25,"EPI",25,100
"B1",133,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",41,"EPI",17,41.4634146341463
"B2",126,"ICM","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",27,"EPI",27,100
"B3",146,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",53,"EPI",20,37.7358490566038
"B4",136,"ICM","Littermate",">128 cell","Gata6","ko","CD1/mixed","any","wt",34,"EPI",34,100
"B5",131,"ICM","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",37,"EPI",18,48.6486486486487
"B6",140,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",44,"EPI",18,40.9090909090909
"B7",138,"ICM","Littermate",">128 cell","Gata6","ko","CD1/mixed","any","wt",27,"EPI",27,100
"C1",66,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",26,"EPI",0,0
"C2",65,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",22,"EPI",0,0
"C3",79,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",22,"EPI",8,36.3636363636364
"C4",59,"ICM","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",28,"EPI",28,100
"D1",59,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",25,"EPI",0,0
"D2",51,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",15,"EPI",0,0
"D3",66,"ICM","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",31,"EPI",31,100
"D4",62,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",31,"EPI",1,3.2258064516129
"D5",78,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",22,"EPI",5,22.7272727272727
"E1",217,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",62,"EPI",28,45.1612903225806
"E2",171,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",61,"EPI",16,26.2295081967213
"E3",179,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",58,"EPI",22,37.9310344827586
"F1",145,"ICM","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",33,"EPI",24,72.7272727272727
"F2",145,"ICM","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",36,"EPI",14,38.8888888888889
"F3",147,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",52,"EPI",19,36.5384615384615
"G1",61,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",30,"EPI",10,33.3333333333333
"G10",52,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",20,"EPI",2,10
"G11",47,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",15,"EPI",2,13.3333333333333
"G12",68,"ICM","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",25,"EPI",2,8
"G13",80,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",23,"EPI",16,69.5652173913043
"G2",44,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",20,"EPI",0,0
"G3",44,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",14,"EPI",3,21.4285714285714
"G4",61,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",25,"EPI",2,8
"G5",64,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",27,"EPI",8,29.6296296296296
"G6",60,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",21,"EPI",3,14.2857142857143
"G7",47,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",17,"EPI",1,5.88235294117647
"G8",63,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",25,"EPI",7,28
"G9",45,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",18,"EPI",3,16.6666666666667
"I1",104,"ICM","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",28,"EPI",11,39.2857142857143
"I2",110,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",34,"EPI",14,41.1764705882353
"I3",116,"ICM","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",41,"EPI",16,39.0243902439024
"I4",107,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",35,"EPI",15,42.8571428571429
"I5",50,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",11,"EPI",1,9.09090909090909
"I6",115,"ICM","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",49,"EPI",19,38.7755102040816
"K1",166,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",48,"EPI",15,31.25
"K2",161,"ICM","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",39,"EPI",21,53.8461538461538
"K3",166,"ICM","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",37,"EPI",21,56.7567567567568
"M1",96,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",27,"EPI",11,40.7407407407407
"M2",96,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",28,"EPI",7,25
"M3",109,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",31,"EPI",14,45.1612903225806
"M4",94,"ICM","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",41,"EPI",41,100
"M5",83,"ICM","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",29,"EPI",29,100
"M6",85,"ICM","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",35,"EPI",35,100
"M7",91,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",25,"EPI",13,52
"AK1",146,"ICM","Littermate",">128 cell","Gata6","ko","CD1/mixed","any","wt",29,"PRE",0,0
"AK4",144,"ICM","Littermate",">128 cell","Gata6","ko","CD1/mixed","any","wt",39,"PRE",0,0
"AM10",49,"ICM","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",19,"PRE",0,0
"AM7",46,"ICM","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",25,"PRE",0,0
"AV1",61,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",34,"PRE",3,8.82352941176471
"AV10",54,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",23,"PRE",0,0
"AV11",58,"ICM","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",25,"PRE",0,0
"AV3",65,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",29,"PRE",3,10.3448275862069
"AV4",54,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",25,"PRE",0,0
