"Experiment","Litter","Embryo_ID","Exp_date","Img_date","Cellcount","TE_ICM","Treatment","Stage","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","litter.median","Identity.hc","count","pc.icm"
"082118G6NG_AF","AF","082118G6NG_AF2",20180821,20180824,104,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Nanog","het",36,104,"DN",0,0
"082118G6NG_AG","AG","082118G6NG_AG1",20180821,20180824,106,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Nanog","wt",29,106,"DN",0,0
"082318G6NG_AH","AH","082318G6NG_AH1",20180823,20180824,152,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Nanog","het",34,152,"DN",0,0
"082318G6NG_AH","AH","082318G6NG_AH2",20180823,20180824,151,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Nanog","het",39,152,"DN",0,0
"082318G6NG_AH","AH","082318G6NG_AH4",20180823,20180824,172,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Nanog","het",63,152,"DN",0,0
"091918G6NG_AI","AI","091918G6NG_AI1",20180919,20180926,105,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Nanog","het",40,118,"DN",0,0
"091918G6NG_AI","AI","091918G6NG_AI2",20180919,20180926,117,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Nanog","het",37,118,"DN",0,0
"091918G6NG_AI","AI","091918G6NG_AI3",20180919,20180926,123,"ICM","Littermate","120_150","CD1/mixed","Gata6","wt","Nanog","het",35,118,"DN",0,0
"091918G6NG_AI","AI","091918G6NG_AI4",20180919,20180926,124,"ICM","Littermate","120_150","CD1/mixed","Gata6","wt","Nanog","wt",43,118,"DN",0,0
"091918G6NG_AI","AI","091918G6NG_AI5",20180919,20180926,121,"ICM","Littermate","120_150","CD1/mixed","Gata6","wt","Nanog","wt",45,118,"DN",0,0
"091918G6NG_AI","AI","091918G6NG_AI6",20180919,20180926,113,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Nanog","wt",38,118,"DN",0,0
"091918G6NG_AI","AI","091918G6NG_AI7",20180919,20180926,118,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Nanog","het",39,118,"DN",0,0
"091918G6NG_AI","AI","091918G6NG_AI8",20180919,20180926,118,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Nanog","wt",45,118,"DN",0,0
"092117G6G4_K","K","092117G6G4_K2",20170921,20170926,158,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","wt",52,158,"DN",0,0
"092117G6G4_K","K","092117G6G4_K3",20170921,20170926,132,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Gata4","het",44,158,"DN",0,0
"092117G6G4_L","L","092117G6G4_L1",20170921,20170926,186,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","het",77,174,"DN",0,0
"092117G6G4_L","L","092117G6G4_L2",20170921,20170926,169,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","het",73,174,"DN",0,0
"092117G6G4_L","L","092117G6G4_L3",20170921,20170926,174,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","het",69,174,"DN",0,0
"092117G6G4_L","L","092117G6G4_L4",20170921,20170926,135,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Gata4","wt",57,174,"DN",0,0
"092118G6NG_AJ","AJ","092118G6NG_AJ1",20180921,20180926,215,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Nanog","wt",74,201,"DN",0,0
"092118G6NG_AJ","AJ","092118G6NG_AJ2",20180921,20180926,177,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Nanog","het",63,201,"DN",0,0
"092118G6NG_AJ","AJ","092118G6NG_AJ6",20180921,20180926,201,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Nanog","wt",66,201,"DN",0,0
"092917G6G4_M","M","092917G6G4_M1",20170929,20171004,202,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","mosaic",77,202,"DN",0,0
"092917G6G4_M","M","092917G6G4_M2",20170929,20171004,230,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","wt",105,202,"DN",0,0
"092917G6G4_M","M","092917G6G4_M3",20170929,20171004,211,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","wt",81,202,"DN",0,0
"092917G6G4_M","M","092917G6G4_M4",20170929,20171004,167,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","het",61,202,"DN",2,3.27868852459016
"092917G6G4_M","M","092917G6G4_M6",20170929,20171004,160,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","wt",58,202,"DN",0,0
