"Experiment","Litter","Embryo_ID","Treatment","Cellcount","TE_ICM","icm.count","H_genotype","D_genotype","Embryo_size","t0.donor","donor.end","Identity.hc","lin.count","pc.icm"
"031818Xim_WT_AN","AN","031818Xim_WT_AN12","Chimera",106,"ICM",10,"wt","CAG:H2B-GFP","Single",75,"[80,100]","PRE",1,10
"031818Xim_WT_AN","AN","031818Xim_WT_AN13","Chimera",98,"ICM",17,"wt","CAG:H2B-GFP","Single",75,"[80,100]","PRE",2,11.7647058823529
"031818Xim_WT_AN","AN","031818Xim_WT_AN14","Control",132,"ICM",23,"wt","0","Single",0,"[0,20)","PRE",20,86.9565217391304
"031818Xim_WT_AN","AN","031818Xim_WT_AN15","Control",113,"ICM",15,"wt","0","Single",0,"[0,20)","PRE",8,53.3333333333333
"031818Xim_WT_AN","AN","031818Xim_WT_AN2","Chimera",89,"ICM",10,"wt","CAG:H2B-GFP","Single",75,"[60,80)","PRE",5,50
"031818Xim_WT_AN","AN","031818Xim_WT_AN3","Chimera",81,"ICM",13,"wt","CAG:H2B-GFP","Single",75,"[80,100]","PRE",4,30.7692307692308
"031818Xim_WT_AN","AN","031818Xim_WT_AN4","Chimera",106,"ICM",18,"wt","CAG:H2B-GFP","Single",75,"[60,80)","PRE",1,5.55555555555556
"031818Xim_WT_AN","AN","031818Xim_WT_AN5","Chimera",82,"ICM",21,"wt","CAG:H2B-GFP","Single",75,"[80,100]","PRE",1,4.76190476190476
"031818Xim_WT_AN","AN","031818Xim_WT_AN6","Chimera",109,"ICM",17,"wt","CAG:H2B-GFP","Single",75,"[80,100]","PRE",4,23.5294117647059
"031818Xim_WT_AN","AN","031818Xim_WT_AN7","Chimera",91,"ICM",7,"wt","CAG:H2B-GFP","Single",75,"[0,20)","PRE",4,57.1428571428571
"031818Xim_WT_AN","AN","031818Xim_WT_AN8","Chimera",114,"ICM",28,"wt","CAG:H2B-GFP","Single",75,"[80,100]","PRE",11,39.2857142857143
"031818Xim_WT_AN","AN","031818Xim_WT_AN9","Chimera",105,"ICM",16,"wt","CAG:H2B-GFP","Single",75,"[60,80)","PRE",11,68.75
"031818Xim_WT_AO","AO","031818Xim_WT_AO1","Chimera",117,"ICM",14,"wt","CAG:H2B-GFP","Single",50,"[60,80)","PRE",9,64.2857142857143
"031818Xim_WT_AO","AO","031818Xim_WT_AO10","Chimera",95,"ICM",20,"wt","CAG:H2B-GFP","Single",50,"[40,60)","PRE",8,40
"031818Xim_WT_AO","AO","031818Xim_WT_AO11","Chimera",119,"ICM",23,"wt","CAG:H2B-GFP","Single",50,"[20,40)","PRE",15,65.2173913043478
"031818Xim_WT_AO","AO","031818Xim_WT_AO12","Chimera",87,"ICM",17,"wt","CAG:H2B-GFP","Single",50,"[40,60)","PRE",14,82.3529411764706
"031818Xim_WT_AO","AO","031818Xim_WT_AO13","Chimera",91,"ICM",29,"wt","CAG:H2B-GFP","Single",50,"[60,80)","PRE",24,82.7586206896552
"031818Xim_WT_AO","AO","031818Xim_WT_AO14","Chimera",98,"ICM",20,"wt","CAG:H2B-GFP","Single",50,"[20,40)","PRE",9,45
"031818Xim_WT_AO","AO","031818Xim_WT_AO15","Chimera",107,"ICM",23,"wt","CAG:H2B-GFP","Single",50,"[60,80)","PRE",15,65.2173913043478
"031818Xim_WT_AO","AO","031818Xim_WT_AO16","Chimera",90,"ICM",19,"wt","CAG:H2B-GFP","Single",50,"[60,80)","PRE",8,42.1052631578947
"031818Xim_WT_AO","AO","031818Xim_WT_AO17","Chimera",108,"ICM",25,"wt","CAG:H2B-GFP","Single",50,"[80,100]","PRE",15,60
"031818Xim_WT_AO","AO","031818Xim_WT_AO18","Chimera",83,"ICM",18,"wt","CAG:H2B-GFP","Single",50,"[80,100]","PRE",14,77.7777777777778
"031818Xim_WT_AO","AO","031818Xim_WT_AO19","Control",96,"ICM",9,"wt","0","Single",0,"[0,20)","PRE",5,55.5555555555556
