"Embryo_ID","esc.end","Experiment","Litter","Exp_date","Img_date","TE_ICM","Cellcount","Stage","Background","Treatment","Gene1","Genotype1","Gene2","Genotype2","ESC_line","ESC_genotype","ESC_t0","ES_culture","H_cells","D_cells","Culture_time","Stage.t0","Cre","icm.count","group.median","Identity.hc","count","pc.icm","host.icm"
"010919Xim_F4_DH5","2x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",45,140,"ESC",12,26.6666666666667,33
"010919Xim_F4_DH5","2x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",45,140,"EPI",28,62.2222222222222,33
"010919Xim_F4_DH5","2x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"TE",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",45,140,"TE",95,211.111111111111,33
"010919Xim_F4_DH5","2x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",45,140,"PRE",5,11.1111111111111,33
"010919Xim_F4_DH5","2x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",45,140,"DP",0,0,33
"010919Xim_F4_DH5","2x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",45,140,"EPI.lo",0,0,33
"010919Xim_F4_DH6","0.5x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",133,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",36,140,"ESC",1,2.77777777777778,35
"010919Xim_F4_DH6","0.5x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",133,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",36,140,"EPI",26,72.2222222222222,35
"010919Xim_F4_DH6","0.5x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",133,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",36,140,"PRE",9,25,35
"010919Xim_F4_DH6","0.5x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"TE",133,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",36,140,"TE",97,269.444444444444,35
"010919Xim_F4_DH6","0.5x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",133,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",36,140,"EPI.lo",0,0,35
"010919Xim_F4_DH6","0.5x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",133,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",36,140,"DP",0,0,35
"010919Xim_F4_DH7","4x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",120,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",39,140,"ESC",26,66.6666666666667,13
"010919Xim_F4_DH7","4x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",120,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",39,140,"EPI",0,0,13
"010919Xim_F4_DH7","4x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",120,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",39,140,"PRE",13,33.3333333333333,13
"010919Xim_F4_DH7","4x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"TE",120,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",39,140,"TE",81,207.692307692308,13
"010919Xim_F4_DH7","4x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",120,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",39,140,"EPI.lo",0,0,13
"010919Xim_F4_DH7","4x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",120,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",39,140,"DP",0,0,13
"010919Xim_F4_DH9","1x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",119,"90_120","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",20,140,"EPI",1,5,14
"010919Xim_F4_DH9","1x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"TE",119,"90_120","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",20,140,"TE",99,495,14
"010919Xim_F4_DH9","1x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",119,"90_120","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",20,140,"PRE",13,65,14
"010919Xim_F4_DH9","1x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",119,"90_120","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",20,140,"ESC",6,30,14
