"Experiment","Litter","Embryo_ID","Exp_date","Img_date","Cellcount","TE_ICM","Treatment","target","Recovery","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","group.median","litter.median.t0","Cell_diff","Stage.t0","Cellcount_t0","Identity.hc","count","Gene3","Genotype3","target_t0","pc.icm"
"012318Abl_CJ.Littermate.Pdgfra.wt","CJ","012318Abl_CJ6",20180123,20180130,63,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",25,73,73,"zero","[70,90)",63,"PRE",11,NA,NA,NA,44
"012318Abl_CJ.Littermate.Pdgfra.wt","CJ","012318Abl_CJ7",20180123,20180130,73,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",28,73,73,"zero","[70,90)",73,"PRE",15,NA,NA,NA,53.5714285714286
"013018Abl_CK.Ablated.Pdgfra.het","CK","013018Abl_CK3",20180130,20180202,80,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","wt",20,82,75,"kill_0.5","[70,90)",0,"PRE",6,NA,NA,NA,30
"013018Abl_CK.Ablated.Pdgfra.het","CK","013018Abl_CK4",20180130,20180202,90,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","wt",20,82,75,"kill_0.75","[70,90)",0,"PRE",13,NA,NA,NA,65
"013018Abl_CK.Ablated.Pdgfra.het","CK","013018Abl_CK5",20180130,20180202,90,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","wt",24,82,75,"kill_0.5","[70,90)",0,"PRE",11,NA,NA,NA,45.8333333333333
"013018Abl_CK.Ablated.Pdgfra.het","CK","013018Abl_CK6",20180130,20180202,82,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","wt",19,82,75,"kill_0.75","[70,90)",0,"PRE",10,NA,NA,NA,52.6315789473684
"013018Abl_CK.Control.Pdgfra.het","CK","013018Abl_CK7",20180130,20180202,89,"ICM","Control","none","24h","CD1/mixed","Pdgfra","het","R26","wt",27,96,75,"zero","[70,90)",0,"PRE",13,NA,NA,NA,48.1481481481481
"013018Abl_CK.Control.Pdgfra.het","CK","013018Abl_CK8",20180130,20180202,96,"ICM","Control","none","24h","CD1/mixed","Pdgfra","het","R26","wt",24,96,75,"zero","[70,90)",0,"PRE",10,NA,NA,NA,41.6666666666667
"013018Abl_CK.Littermate.Pdgfra.wt","CK","013018Abl_CK10",20180130,20180202,75,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",25,75,75,"zero","[70,90)",75,"PRE",11,NA,NA,NA,44
"013018Abl_CK.Littermate.Pdgfra.wt","CK","013018Abl_CK11",20180130,20180202,84,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",29,75,75,"zero","[70,90)",84,"PRE",18,NA,NA,NA,62.0689655172414
"013018Abl_CK.Littermate.Pdgfra.wt","CK","013018Abl_CK12",20180130,20180202,67,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",19,75,75,"zero","[70,90)",67,"PRE",8,NA,NA,NA,42.1052631578947
"013018Abl_CK.Littermate.Pdgfra.wt","CK","013018Abl_CK9",20180130,20180202,75,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",24,75,75,"zero","[70,90)",75,"PRE",12,NA,NA,NA,50
"013118Abl_CLa.Ablated.Pdgfra.het","CL","013118Abl_CL2",20180131,20180202,67,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","wt",16,67,64,"kill_0.5","[50,70)",0,"PRE",8,NA,NA,NA,50
"013118Abl_CLa.Ablated.Pdgfra.het","CL","013118Abl_CL5",20180131,20180202,86,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","wt",25,67,64,"kill_all","[50,70)",0,"PRE",13,NA,NA,NA,52
"013118Abl_CLa.Control.Pdgfra.het","CL","013118Abl_CL4",20180131,20180202,94,"ICM","Control","none","24h","CD1/mixed","Pdgfra","het","R26","wt",39,94,64,"zero","[50,70)",0,"PRE",23,NA,NA,NA,58.974358974359
