Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, ,
041218Xim_WT_BH11,36,TE,I,8392,310.33,365.25,23.165,1804.9,1.51E+07,59.339,4.98E+05,289.41,2.43E+06,592.36,4.97E+06,40.251,3.38E+05,,
041218Xim_WT_BH11,37,TE,I,7072,336.77,144.57,21.152,2313.6,1.64E+07,58.036,4.10E+05,235.98,1.67E+06,609.3,4.31E+06,39.728,2.81E+05,,
041218Xim_WT_BH11,39,TE,I,11237,353.9,202.46,24.685,1839.6,2.07E+07,42.793,4.81E+05,133.47,1.50E+06,597.44,6.71E+06,31.495,3.54E+05,,
041218Xim_WT_BH11,41,TE,I,15522,413.82,271.06,26.018,1572.1,2.44E+07,47.07,7.31E+05,163.65,2.54E+06,595.61,9.25E+06,31.053,4.82E+05,,
041218Xim_WT_BH11,42,TE,I,12394,217.41,129.54,25.531,2233.4,2.77E+07,47.33,5.87E+05,135.28,1.68E+06,611.31,7.58E+06,34.838,4.32E+05,,
041218Xim_WT_BH11,43,ICM,I,5522,176.44,238.35,25.272,2055,1.13E+07,47.967,2.65E+05,345.12,1.91E+06,587.07,3.24E+06,95.463,5.27E+05,,
041218Xim_WT_BH11,44,TE,I,13763,328.12,250.49,27.121,1386.8,1.91E+07,43.206,5.95E+05,126.37,1.74E+06,619.03,8.52E+06,32.578,4.48E+05,,
041218Xim_WT_BH11,45,TE,I,16826,407.04,309.56,28.364,1528.6,2.57E+07,49.18,8.28E+05,177.33,2.98E+06,617.67,1.04E+07,32.02,5.39E+05,,
041218Xim_WT_BH11,46,TE,I,7530,190.77,367.2,26.79,1821.5,1.37E+07,50.046,3.77E+05,349.5,2.63E+06,583.02,4.39E+06,37.071,2.79E+05,,
041218Xim_WT_BH11,47,ESC,I,2917,142.71,269.42,24.53,2287.7,6.67E+06,95.827,2.80E+05,210.37,6.14E+05,549.38,1.60E+06,4086.1,1.19E+07,,
041218Xim_WT_BH11,48,ICM,I,7907,136.82,300.38,27.558,2114.6,1.67E+07,57.198,4.52E+05,279.46,2.21E+06,579.18,4.58E+06,87.756,6.94E+05,,
041218Xim_WT_BH11,49,TE,I,8452,115.3,195.45,30.7,1585.3,1.34E+07,86.2,7.29E+05,245.6,2.08E+06,576.58,4.87E+06,46.967,3.97E+05,,
041218Xim_WT_BH11,50,TE,I,7385,128.26,342.16,32.578,1827.2,1.35E+07,43.089,3.18E+05,265.15,1.96E+06,577.32,4.26E+06,34.177,2.52E+05,,
041218Xim_WT_BH11,51,ICM,I,4943,135.26,185.68,30.769,1848.9,9.14E+06,186.09,9.20E+05,42.224,2.09E+05,684.28,3.38E+06,115.84,5.73E+05,,
041218Xim_WT_BH11,52,ICM,I,6541,159.81,265.6,31.49,1624.1,1.06E+07,42.895,2.81E+05,210.99,1.38E+06,534.09,3.49E+06,783.67,5.13E+06,,
041218Xim_WT_BH11,53,ESC,I,4643,134.28,247.05,31.362,1734.4,8.05E+06,90.124,4.18E+05,149.64,6.95E+05,561.15,2.61E+06,3952,1.83E+07,,
