Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum,
021016Xim_F4KO_Q1,96,52,PRE,4159,177.17,321.07,43.803,1091.4,4.54E+06,77.529,3.22E+05,139.05,5.78E+05,1066.9,4.44E+06,1287.6,5.36E+06,
021016Xim_F4KO_Q1,96,53,TE,7201,219.48,116.55,46.971,1318.5,9.49E+06,40.487,2.92E+05,127.84,9.21E+05,1080.9,7.78E+06,1333.4,9.60E+06,
021016Xim_F4KO_Q1,96,54,TE,8591,262.74,123.4,48.001,1329.2,1.14E+07,37.127,3.19E+05,108.11,9.29E+05,1262.2,1.08E+07,964.33,8.28E+06,
021016Xim_F4KO_Q1,96,55,ESC,5868,99.529,264.74,45.579,1065.4,6.25E+06,535.5,3.14E+06,650.9,3.82E+06,1000.9,5.87E+06,218.5,1.28E+06,
021016Xim_F4KO_Q1,96,56,TE,12385,244.57,410.39,47.511,1215.9,1.51E+07,33.272,4.12E+05,183.66,2.27E+06,1068.8,1.32E+07,804.36,9.96E+06,
021016Xim_F4KO_Q1,96,57,ESC,10240,144.87,247.78,49.966,749.07,7.67E+06,350.27,3.59E+06,454.35,4.65E+06,996.2,1.02E+07,177.19,1.81E+06,
021016Xim_F4KO_Q1,96,58,ESC,1454,161.86,250.35,45.534,794.08,1.15E+06,407.17,5.92E+05,549.33,7.99E+05,995.24,1.45E+06,202.81,2.95E+05,
021016Xim_F4KO_Q1,96,59,PRE,2538,137.88,335.32,47.474,766.59,1.95E+06,50.72,1.29E+05,558.56,1.42E+06,1006.9,2.56E+06,1525.7,3.87E+06,
021016Xim_F4KO_Q1,96,60,ESC,3098,147.36,289.36,50.614,819.92,2.54E+06,337.68,1.05E+06,327.11,1.01E+06,971.57,3.01E+06,272.06,8.43E+05,
021016Xim_F4KO_Q1,96,61,PRE,7294,186.44,270.89,52.055,582.08,4.25E+06,124.36,9.07E+05,208.6,1.52E+06,1030.9,7.52E+06,1324.5,9.66E+06,
021016Xim_F4KO_Q1,96,61.2,PRE,7294,171,290,55,564.067,,114.507,,167.717,,969.411,,1191.217,,
021016Xim_F4KO_Q1,96,62,TE,22122,114.91,224.57,57.35,590.22,1.31E+07,57.333,1.27E+06,99.76,2.21E+06,976.14,2.16E+07,320.77,7.10E+06,
021016Xim_F4KO_Q1,96,64,ESC,2487,104.11,269.17,54.605,794.66,1.98E+06,380.86,9.47E+05,441.76,1.10E+06,1012.2,2.52E+06,182.32,4.53E+05,
021016Xim_F4KO_Q1,96,65,TE,9633,402.69,320.84,58.68,828.86,7.98E+06,32.331,3.11E+05,113.04,1.09E+06,965.47,9.30E+06,674.58,6.50E+06,
021016Xim_F4KO_Q1,96,66,PRE,9781,164.02,321.39,57.474,506.15,4.95E+06,51.98,5.08E+05,106.42,1.04E+06,971.6,9.50E+06,952.26,9.31E+06,
021016Xim_F4KO_Q1,96,67,ESC,18731,142,293,56,725.54,,418.279,,358.297,,987.347,,218.689,,
021016Xim_F4KO_Q1,96,67.2,ESC,18731,122,290,60,680.669,,473.171,,325.887,,979.143,,166.415,,
021016Xim_F4KO_Q1,96,68,TE,9611,347.02,381.73,61.472,671.74,6.46E+06,29.018,2.79E+05,105.96,1.02E+06,1134.1,1.09E+07,434.47,4.18E+06,
021016Xim_F4KO_Q1,96,69,TE,7415,323.43,133.43,61.404,1030.5,7.64E+06,32.649,2.42E+05,79.002,5.86E+05,927.07,6.87E+06,618.19,4.58E+06,
021016Xim_F4KO_Q1,96,70,TE,7156,397.24,174.53,63.081,1015.9,7.27E+06,32.474,2.32E+05,323.23,2.31E+06,1112,7.96E+06,771.63,5.52E+06,
021016Xim_F4KO_Q1,96,71,TE,13043,208.2,418.25,66.032,838.73,1.09E+07,29.172,3.80E+05,105.69,1.38E+06,1046.9,1.37E+07,550.09,7.17E+06,
021016Xim_F4KO_Q1,96,73,TE,8223,400.93,281.97,65.126,696.83,5.73E+06,30.963,2.55E+05,103.43,8.50E+05,944.38,7.77E+06,554.06,4.56E+06,
021016Xim_F4KO_Q1,96,74,TE,12553,408.64,226.76,66.444,609.2,7.65E+06,27.296,3.43E+05,122.78,1.54E+06,1003.4,1.26E+07,559.41,7.02E+06,
021016Xim_F4KO_Q1,96,75,TE,4357,125.66,240.17,68.125,496.06,2.16E+06,61.814,2.69E+05,109.2,4.76E+05,899.35,3.92E+06,159.35,6.94E+05,
021016Xim_F4KO_Q1,96,76,TE,8448,367.12,162.29,71.4,704.34,5.95E+06,31.608,2.67E+05,90.134,7.61E+05,1172.9,9.91E+06,618.91,5.23E+06,
