Embryo_ID,Cell_ID,Size,Identity,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
071816Xim_T10,122,18919,TE,184.38,210.84,98.129,251.39,4.76E+06,11.419,2.16E+05,23.357,4.42E+05,1053.1,1.99E+07,164.26,3.11E+06,
071816Xim_T10,123,16062,TE,207.35,335.56,98.498,229.69,3.69E+06,13.735,2.21E+05,22.42,3.60E+05,1170.7,1.88E+07,171.18,2.75E+06,
071816Xim_T10,124,21284,TE,352.95,191.95,99.334,276.03,5.87E+06,11.295,2.40E+05,27.277,5.81E+05,1094.7,2.33E+07,227.15,4.83E+06,
071816Xim_T10,125,15974,TE,169.76,274.47,97.792,128.62,2.05E+06,11.269,1.80E+05,33.035,5.28E+05,892.31,1.43E+07,155.21,2.48E+06,
071816Xim_T10,126,13708,TE,278.29,177.31,101.74,235.04,3.22E+06,11.448,1.57E+05,23.795,3.26E+05,1102,1.51E+07,165.81,2.27E+06,
071816Xim_T10,127,10230,TE,288.94,327.84,102.67,297.29,3.04E+06,11.864,1.21E+05,23.988,2.45E+05,1120.5,1.15E+07,177.58,1.82E+06,
071816Xim_T10,128,15019,TE,236.47,230.18,102.25,321.85,4.83E+06,11.161,1.68E+05,21.979,3.30E+05,1161.5,1.74E+07,202.98,3.05E+06,
071816Xim_T10,129,25153,TE,301.8,264.77,103.18,369.59,9.30E+06,11.932,3.00E+05,26.403,6.64E+05,1114.4,2.80E+07,192,4.83E+06,
071816Xim_T10,129.2,,TE,286,269,103,432.789,,12.386,,27.683,,1125.387,,217.449,,
071816Xim_T10,130,8573,TE,219.52,295.72,103.47,206.28,1.77E+06,10.673,91498,18.516,1.59E+05,1182.9,1.01E+07,136.02,1.17E+06,
071816Xim_T10,131,2221,TE,358.12,271.19,106.07,222.03,4.93E+05,92.954,2.06E+05,34.395,76391,1109.7,2.46E+06,66.805,1.48E+05,
071816Xim_T10,132,2334,TE,290.71,372.8,105.2,360.06,8.40E+05,109.93,2.57E+05,17.089,39886,1064.4,2.48E+06,52.081,1.22E+05,
071816Xim_T10,133,1412,TE,271.6,374.27,105.78,373.45,5.27E+05,119.13,1.68E+05,16.419,23184,1140.9,1.61E+06,36.58,51651,
