Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
121118G6NG_AO1,80,ICM,I,7096,220.33,154.81,33.526,420.6,2.98E+06,14.783,1.05E+05,29.026,2.06E+05,1466.9,1.04E+07,442.8,3.14E+06,
121118G6NG_AO1,81,TE,I,5684,138.71,247.98,33.189,722.81,4.11E+06,143.28,8.14E+05,24.045,1.37E+05,1474,8.38E+06,47.774,2.72E+05,
121118G6NG_AO1,82,TE,I,11500,360.74,175.65,37.303,731.84,8.42E+06,41.137,4.73E+05,19.891,2.29E+05,1739.2,2.00E+07,43.528,5.01E+05,
121118G6NG_AO1,83,ICM,I,8013,173.72,268.61,33.303,543.63,4.36E+06,23.448,1.88E+05,41.721,3.34E+05,1742.8,1.40E+07,38.859,3.11E+05,
121118G6NG_AO1,84,ICM,I,4066,257.99,99.802,33.307,582.25,2.37E+06,21.571,87708,30.832,1.25E+05,1408.9,5.73E+06,663.54,2.70E+06,
121118G6NG_AO1,85,ICM,I,3213,169.51,135.13,31.375,795.33,2.56E+06,15.201,48842,158.87,5.10E+05,1580,5.08E+06,81.333,2.61E+05,
121118G6NG_AO1,86,ICM,I,7549,210.95,94.782,36.039,902.48,6.81E+06,19.696,1.49E+05,31.673,2.39E+05,1604,1.21E+07,646.49,4.88E+06,
121118G6NG_AO1,87,ICM,I,4814,195.51,208.18,35.907,649.82,3.13E+06,14.708,70803,44.286,2.13E+05,1496.3,7.20E+06,463.06,2.23E+06,
121118G6NG_AO1,87.2,ICM,I,4814,180,180,40,334.987,,14.417,,33.659,,1668.361,,184.039,,
121118G6NG_AO1,89,TE,I,12788,178.77,384.22,37.527,835.79,1.07E+07,25.655,3.28E+05,16.264,2.08E+05,1565.2,2.00E+07,37.432,4.79E+05,
121118G6NG_AO1,90,TE,I,13662,242.41,423.79,38.994,610.17,8.34E+06,19.433,2.65E+05,15.935,2.18E+05,1462.1,2.00E+07,40.69,5.56E+05,
121118G6NG_AO1,91,TE,I,9073,218.94,43.411,39.044,1013.9,9.20E+06,25.642,2.33E+05,15.822,1.44E+05,1642.7,1.49E+07,30.321,2.75E+05,
121118G6NG_AO1,92,TE,I,3251,115.4,201.55,37.526,932.89,3.03E+06,72.614,2.36E+05,22.496,73134,1328.9,4.32E+06,44.764,1.46E+05,
121118G6NG_AO1,93,TE,I,9802,290.41,449.12,40.123,912.58,8.95E+06,31.34,3.07E+05,18.562,1.82E+05,1539.4,1.51E+07,52.368,5.13E+05,
121118G6NG_AO1,94,TE,I,5483,349.36,107.05,39.179,948.16,5.20E+06,60.731,3.33E+05,21.627,1.19E+05,1466.3,8.04E+06,62.631,3.43E+05,
121118G6NG_AO1,95,ICM,I,1472,146.67,194.22,34.618,647.88,9.54E+05,16.863,24822,41.923,61710,1860.8,2.74E+06,98.103,1.44E+05,
121118G6NG_AO1,96,TE,I,13601,156.17,356.81,40.205,852.74,1.16E+07,22.27,3.03E+05,16.038,2.18E+05,1578.8,2.15E+07,39.753,5.41E+05,
121118G6NG_AO1,97,ICM,I,6724,193.64,122.37,39.67,603.99,4.06E+06,15.137,1.02E+05,36.895,2.48E+05,1597.8,1.07E+07,549.93,3.70E+06,
121118G6NG_AO1,97.2,ICM,I,6724,191,102,44,545.59,,17.158,,27.469,,1780.24,,480.258,,
121118G6NG_AO1,98,TE,I,15833,319.74,389.19,41.722,424.99,6.73E+06,19.492,3.09E+05,16.67,2.64E+05,1343.8,2.13E+07,36.089,5.71E+05,
