Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
121118G6NG_AP2,139,TE,I,5443,353.3,376.39,68.411,530.43,2.89E+06,35.997,1.96E+05,14.177,77167,1637.5,8.91E+06,28.841,1.57E+05,
121118G6NG_AP2,140,TE,I,10005,202.27,199.29,68.815,300.03,3.00E+06,32.851,3.29E+05,14.006,1.40E+05,1951.3,1.95E+07,23.468,2.35E+05,
121118G6NG_AP2,141,TE,I,13830,349.77,233.86,70.726,294,4.07E+06,21.048,2.91E+05,14.098,1.95E+05,1581.4,2.19E+07,24.425,3.38E+05,
121118G6NG_AP2,142,TE,I,7605,314.98,378.75,69.558,514.12,3.91E+06,41.676,3.17E+05,14.855,1.13E+05,1891.1,1.44E+07,31.437,2.39E+05,
121118G6NG_AP2,143,TE,I,13927,138.54,191.17,72.072,261.48,3.64E+06,38.597,5.38E+05,15.364,2.14E+05,1733.7,2.41E+07,56.163,7.82E+05,
121118G6NG_AP2,144,ICM,I,1291,129.33,215.59,65.348,352.85,4.56E+05,14.894,19228,21.177,27340,1520.4,1.96E+06,268.77,3.47E+05,
121118G6NG_AP2,145,TE,I,13245,369.6,303.33,71.307,433.13,5.74E+06,18.783,2.49E+05,14.302,1.89E+05,1635.5,2.17E+07,24.853,3.29E+05,
121118G6NG_AP2,146,TE,I,6460,261.01,352.89,71.958,454.62,2.94E+06,50.701,3.28E+05,15.306,98874,1854.8,1.20E+07,29.796,1.92E+05,
121118G6NG_AP2,147,ICM,I,5180,133.29,249.15,70.781,323.55,1.68E+06,15.007,77737,21.636,1.12E+05,1490.8,7.72E+06,296.82,1.54E+06,
121118G6NG_AP2,148,TE,I,12550,100.25,245.72,73.544,195.87,2.46E+06,31.121,3.91E+05,18.108,2.27E+05,1677.7,2.11E+07,44.205,5.55E+05,
121118G6NG_AP2,149,TE,I,11423,298.07,267.52,72.905,454.37,5.19E+06,24.133,2.76E+05,14.87,1.70E+05,1650.2,1.89E+07,26.709,3.05E+05,
121118G6NG_AP2,151,TE,I,3235,231.62,324.54,72.627,445.21,1.44E+06,42.168,1.36E+05,14.755,47731,1825.9,5.91E+06,28.101,90906,
121118G6NG_AP2,152,TE,I,12707,232.85,296.77,76.239,432.45,5.50E+06,26.644,3.39E+05,13.949,1.77E+05,1887.7,2.40E+07,23.45,2.98E+05,
121118G6NG_AP2,153,TE,I,6062,182.88,317.44,74.599,272.42,1.65E+06,39.607,2.40E+05,14.043,85128,1803.8,1.09E+07,28.913,1.75E+05,
121118G6NG_AP2,154,TE,I,10145,189.52,262.08,74.804,239.03,2.43E+06,25.219,2.56E+05,13.325,1.35E+05,1799.4,1.83E+07,21.917,2.22E+05,
121118G6NG_AP2,155,TE,I,9608,156.4,223.41,77.338,209.3,2.01E+06,35.7,3.43E+05,15.13,1.45E+05,1633.9,1.57E+07,48.479,4.66E+05,
121118G6NG_AP2,157,TE,I,9324,293.53,317.94,83.142,471.74,4.40E+06,17.681,1.65E+05,13.993,1.30E+05,1802.8,1.68E+07,22.483,2.10E+05,
