
Time Index
 ==================== 
Time Index,Unit,Category,Time,NS-labs,TrackID,ID,
10,,Spot,10,PRE,1000000008,854,
10,,Spot,10,PRE,1000000007,855,
11,,Spot,11,PRE,1000000002,856,
11,,Spot,11,PRE,1000000006,857,
11,,Spot,11,PRE,1000000001,858,
11,,Spot,11,PRE,1000000000,859,
11,,Spot,11,PRE,1000000003,860,
11,,Spot,11,PRE,1000000009,861,
11,,Spot,11,PRE,1000000010,862,
11,,Spot,11,PRE,1000000004,863,
11,,Spot,11,PRE,1000000008,864,
11,,Spot,11,PRE,1000000007,865,
12,,Spot,12,PRE,1000000002,866,
12,,Spot,12,PRE,1000000006,867,
12,,Spot,12,PRE,1000000001,868,
12,,Spot,12,PRE,1000000000,869,
12,,Spot,12,PRE,1000000003,870,
12,,Spot,12,PRE,1000000009,871,
12,,Spot,12,PRE,1000000010,872,
12,,Spot,12,PRE,1000000004,873,
12,,Spot,12,PRE,1000000008,874,
12,,Spot,12,PRE,1000000007,875,
13,,Spot,13,PRE,1000000002,876,
13,,Spot,13,PRE,1000000006,877,
13,,Spot,13,PRE,1000000001,878,
13,,Spot,13,PRE,1000000000,879,
13,,Spot,13,PRE,1000000003,880,
13,,Spot,13,PRE,1000000009,881,
13,,Spot,13,PRE,1000000010,882,
13,,Spot,13,PRE,1000000004,883,
13,,Spot,13,PRE,1000000008,884,
13,,Spot,13,PRE,1000000007,885,
14,,Spot,14,PRE,1000000002,886,
14,,Spot,14,PRE,1000000006,887,
14,,Spot,14,PRE,1000000001,888,
14,,Spot,14,PRE,1000000000,889,
14,,Spot,14,PRE,1000000003,890,
14,,Spot,14,PRE,1000000009,891,
14,,Spot,14,PRE,1000000010,892,
14,,Spot,14,PRE,1000000004,893,
14,,Spot,14,PRE,1000000008,894,
14,,Spot,14,PRE,1000000007,895,
15,,Spot,15,PRE,1000000002,896,
15,,Spot,15,PRE,1000000006,897,
15,,Spot,15,PRE,1000000001,898,
15,,Spot,15,PRE,1000000000,899,
15,,Spot,15,PRE,1000000003,900,
15,,Spot,15,PRE,1000000009,901,
15,,Spot,15,PRE,1000000010,902,
