Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
031919Abl_ET2,119,TE,I,20278,283.66,396.15,103.63,378.56,7.68E+06,13.948,2.83E+05,18.611,3.77E+05,1348.9,2.74E+07,106.54,2.16E+06
031919Abl_ET2,120,TE,I,10806,246.15,189.29,102.26,474.51,5.13E+06,14.083,1.52E+05,17.658,1.91E+05,1271,1.37E+07,93.653,1.01E+06
031919Abl_ET2,121,TE,I,16432,364.22,250.91,103,488.08,8.02E+06,14.748,2.42E+05,17.686,2.91E+05,1243.2,2.04E+07,37.606,6.18E+05
031919Abl_ET2,122,TE,I,27716,157.26,272.35,103.47,217.99,6.04E+06,13.308,3.69E+05,14.911,4.13E+05,1309.3,3.63E+07,46.919,1.30E+06
031919Abl_ET2,123,TE,I,12797,200.16,229.49,106.49,317.43,4.06E+06,13.867,1.77E+05,17.326,2.22E+05,1295,1.66E+07,87.431,1.12E+06
031919Abl_ET2,124,TE,I,8735,349.12,373.13,103.25,386.82,3.38E+06,13.852,1.21E+05,17.852,1.56E+05,1386.8,1.21E+07,89.379,7.81E+05
031919Abl_ET2,125,TE,I,16800,353.81,287.03,108.09,384.55,6.46E+06,14.515,2.44E+05,17.206,2.89E+05,1194.8,2.01E+07,34.596,5.81E+05
031919Abl_ET2,126,TE,I,11190,311.81,361.51,107.76,464.95,5.20E+06,14.386,1.61E+05,18.772,2.10E+05,1318.4,1.48E+07,112.69,1.26E+06
031919Abl_ET2,127,TE,I,20262,296.04,217.18,110.69,585.72,1.19E+07,14.682,2.97E+05,19.271,3.90E+05,1276.1,2.59E+07,103.86,2.10E+06
031919Abl_ET2,129,TE,I,18841,239.99,269.34,113.81,427.08,8.05E+06,14.122,2.66E+05,17.511,3.30E+05,1334.1,2.51E+07,86.055,1.62E+06
