Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, ,
050718Xim_WT_BC6,62,TE,I,7425,43.725,228.75,40.299,2060.1,1.53E+07,414.74,3.08E+06,35.801,2.66E+05,489.43,3.63E+06,83.846,6.23E+05,,
050718Xim_WT_BC6,63,TE,I,8299,435.58,213.33,40.261,1181,9.80E+06,42.687,3.54E+05,23.144,1.92E+05,480.66,3.99E+06,77.766,6.45E+05,,
050718Xim_WT_BC6,64,TE,I,4720,208.54,76.108,40.258,1185.7,5.60E+06,46.75,2.21E+05,22.215,1.05E+05,442.12,2.09E+06,219.19,1.03E+06,,
050718Xim_WT_BC6,65,ICM,I,2416,61.355,201.43,38.974,1875.8,4.53E+06,57.954,1.40E+05,190.03,4.59E+05,473.72,1.14E+06,183.24,4.43E+05,,
050718Xim_WT_BC6,65.2,ICM,I,2416,75,235,36,1981.203,,52.562,,181.253,,411.023,,78.685,,,
050718Xim_WT_BC6,67,ICM,I,17468,92,325,39,2428.799,,84.455,,29.379,,465.529,,610.305,,,
050718Xim_WT_BC6,67.2,TE,I,17468,79,343,43,2154.007,,341.315,,28.048,,486.255,,84.983,,,
050718Xim_WT_BC6,67.3,ICM,I,17468,77,311,49,1234.815,,1364.533,,164.26,,449.615,,85.998,,,
050718Xim_WT_BC6,67.4,ICM,I,17468,96,336,50,1841.058,,64.667,,23.822,,470.649,,445.221,,,
050718Xim_WT_BC6,68,ICM,I,3667,119.15,175.55,40.062,1528.8,5.61E+06,43.15,1.58E+05,25.582,93808,442.78,1.62E+06,588.19,2.16E+06,,
050718Xim_WT_BC6,70,ICM,I,11260,67,163,46,1529.27,,46.44,,241.526,,457.484,,71.647,,,
050718Xim_WT_BC6,70.2,ICM,I,11260,86,163,46,1423.585,,42.771,,289.191,,440.013,,72.5,,,
050718Xim_WT_BC6,71,ICM,I,6949,71.978,258.69,45.447,1692.1,1.18E+07,303.67,2.11E+06,125.53,8.72E+05,442.88,3.08E+06,71.673,4.98E+05,,
050718Xim_WT_BC6,72,TE,I,4143,323.07,408.79,44.609,1923.9,7.97E+06,1083.2,4.49E+06,50.925,2.11E+05,486.32,2.01E+06,139,5.76E+05,,
050718Xim_WT_BC6,73,TE,I,4573,291.76,65.91,45.994,1002.1,4.58E+06,37.716,1.72E+05,20.732,94807,449.92,2.06E+06,196.54,8.99E+05,,
050718Xim_WT_BC6,74,ICM,I,4307,121.92,349.34,44.1,1844.2,7.94E+06,296.38,1.28E+06,29.223,1.26E+05,491.68,2.12E+06,437.69,1.89E+06,,
050718Xim_WT_BC6,75,TE,I,6029,405.65,353.54,46.322,2146.6,1.29E+07,48.403,2.92E+05,21.751,1.31E+05,478.17,2.88E+06,113.64,6.85E+05,,
050718Xim_WT_BC6,77,TE,I,4100,48.051,174.89,46.992,1695.4,6.95E+06,48.356,1.98E+05,33.42,1.37E+05,495.2,2.03E+06,218.58,8.96E+05,,
050718Xim_WT_BC6,78,TE,I,4241,60.572,239.54,44.845,1871.3,7.94E+06,241.16,1.02E+06,75.153,3.19E+05,402.05,1.71E+06,70.91,3.01E+05,,
050718Xim_WT_BC6,79,ICM,I,4430,100.61,266.6,45.782,1205,5.34E+06,166.66,7.38E+05,31.658,1.40E+05,439.69,1.95E+06,320.88,1.42E+06,,
050718Xim_WT_BC6,80,ICM,I,676,85.879,284.38,41.191,1432.9,9.69E+05,55.515,37528,126.51,85524,457.45,3.09E+05,113.94,77025,,
050718Xim_WT_BC6,81,TE,I,4020,207.03,418.61,46.916,2046.8,8.23E+06,1215.3,4.89E+06,47.219,1.90E+05,490.11,1.97E+06,200.73,8.07E+05,,
050718Xim_WT_BC6,82,TE,I,6350,396.09,108.47,49.077,644.19,4.09E+06,36.62,2.33E+05,22.584,1.43E+05,472.4,3.00E+06,179.91,1.14E+06,,
050718Xim_WT_BC6,83,ICM,I,1465,90.993,237.94,44.824,1448,2.12E+06,46.237,67737,37.232,54545,442.29,6.48E+05,616.85,9.04E+05,,
050718Xim_WT_BC6,84,TE,I,5715,440.5,159.14,50.054,695.01,3.97E+06,34.864,1.99E+05,28.215,1.61E+05,468.09,2.68E+06,174.86,9.99E+05,,
050718Xim_WT_BC6,85,TE,I,4652,365.97,397.27,48.38,2137.7,9.94E+06,45.419,2.11E+05,24.438,1.14E+05,482.06,2.24E+06,409.28,1.90E+06,,
050718Xim_WT_BC6,86,TE,I,3202,228.69,55.96,49.903,1541.3,4.94E+06,39.516,1.27E+05,20.509,65669,444.98,1.42E+06,213.16,6.83E+05,,
050718Xim_WT_BC6,87,ICM,I,2225,62.625,194.67,45.489,1707.7,3.80E+06,57.251,1.27E+05,52.636,1.17E+05,430.95,9.59E+05,430,9.57E+05,,
050718Xim_WT_BC6,88,ICM,I,2187,48.981,290.03,48.6,1358.9,2.97E+06,65.037,1.42E+05,29.775,65117,489.8,1.07E+06,464.7,1.02E+06,,
