Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
061218Xim_G6_BH12,78,ICM,I,7675,140.07,195.02,57.755,316.86,2.43E+06,72.516,5.57E+05,17.369,1.33E+05,417.87,3.21E+06,25.438,1.95E+05
061218Xim_G6_BH12,79,ICM,I,22282,92,200,59,523.616,,85.978,,21.81,,452.191,,31.118,
061218Xim_G6_BH12,81,TE,I,17276,300.04,433.02,62.124,593.51,1.03E+07,63.075,1.09E+06,83.363,1.44E+06,403.71,6.97E+06,31.04,5.36E+05
061218Xim_G6_BH12,82,TE,I,10696,469.31,279.43,64.632,906.61,9.70E+06,561.27,6.00E+06,33.337,3.57E+05,463.67,4.96E+06,55.5,5.94E+05
061218Xim_G6_BH12,83,TE,I,10580,382.02,118.56,64.18,754.8,7.99E+06,1278.8,1.35E+07,50.382,5.33E+05,495.21,5.24E+06,103.01,1.09E+06
061218Xim_G6_BH12,84,TE,I,10719,60.726,232.09,65.458,574.59,6.16E+06,840.54,9.01E+06,38.151,4.09E+05,420.26,4.50E+06,36.147,3.87E+05
061218Xim_G6_BH12,85,ICM,I,11630,109.38,232.74,61.924,361.09,4.20E+06,39.923,4.64E+05,17.64,2.05E+05,490.71,5.71E+06,26.927,3.13E+05
061218Xim_G6_BH12,86,TE,I,22282,125.98,157.31,69.122,604.73,1.35E+07,368.36,8.21E+06,25.207,5.62E+05,482.87,1.08E+07,32.703,7.29E+05
061218Xim_G6_BH12,87,TE,I,6876,88.805,180.9,68.225,619.87,4.26E+06,344.55,2.37E+06,25.538,1.76E+05,507.33,3.49E+06,31.594,2.17E+05
061218Xim_G6_BH12,89,TE,I,11915,143.38,380.12,72.35,310.88,3.70E+06,300.62,3.58E+06,24.136,2.88E+05,404.29,4.82E+06,41.992,5.00E+05
061218Xim_G6_BH12,90,TE,I,12665,405.23,380.11,72.282,438.09,5.55E+06,229.23,2.90E+06,22.81,2.89E+05,410.82,5.20E+06,45.493,5.76E+05
