Embryo Id,Cell ID,Size,Identity,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
042617Xim_G6_AR2,40,3078,ICM,141.98,282.66,33.541,823.42,2.53E+06,593.29,1.83E+06,271.6,8.36E+05,1113.8,3.43E+06,60.58,1.86E+05
042617Xim_G6_AR2,40.2,3078,ICM,141.98,282.66,33.541,741.005,2.53E+06,684.75,1.83E+06,379.283,8.36E+05,1012.869,3.43E+06,65.016,1.86E+05
042617Xim_G6_AR2,41,7097,TE,386.48,243.18,35.608,1034.5,7.34E+06,67.466,4.79E+05,82.431,5.85E+05,1008.7,7.16E+06,168.23,1.19E+06
042617Xim_G6_AR2,42,11245,TE,398.21,281.37,36.177,1731,1.95E+07,76.231,8.57E+05,34.757,3.91E+05,974.87,1.10E+07,137.61,1.55E+06
042617Xim_G6_AR2,43,7672,TE,138.81,315.92,32.997,1111.4,8.53E+06,1035.6,7.95E+06,55.147,4.23E+05,886.3,6.80E+06,153.91,1.18E+06
042617Xim_G6_AR2,44,10875,TE,291.94,368.44,36.081,1251.3,1.36E+07,815.66,8.87E+06,53.187,5.78E+05,990.17,1.08E+07,218.85,2.38E+06
042617Xim_G6_AR2,45,6387,TE,225.68,155.97,36.778,1094.6,6.99E+06,998.52,6.38E+06,54.65,3.49E+05,1004.4,6.41E+06,193.27,1.23E+06
042617Xim_G6_AR2,46,12648,ICM,202.59,196.89,36.241,791.94,1.00E+07,489.26,6.19E+06,38.44,4.86E+05,923.28,1.17E+07,355.12,4.49E+06
042617Xim_G6_AR2,47,4878,TE,194.59,353.24,37.587,1730.2,8.44E+06,1533.4,7.48E+06,62.237,3.04E+05,1125.6,5.49E+06,196.45,9.58E+05
042617Xim_G6_AR2,48,15848,ICM,132.03,201.45,39.873,921.21,1.46E+07,102.13,1.62E+06,289.54,4.59E+06,979.09,1.55E+07,65.432,1.04E+06
042617Xim_G6_AR2,49,8125,ICM,182.68,221.38,38.54,754.16,6.13E+06,339.36,2.76E+06,36.251,2.95E+05,945.12,7.68E+06,269.24,2.19E+06
042617Xim_G6_AR2,50,9540,ICM,170.16,248.94,41.939,807.73,7.71E+06,287.76,2.75E+06,52.642,5.02E+05,932.6,8.90E+06,315.68,3.01E+06
042617Xim_G6_AR2,51,10053,TE,351.17,160.8,39.821,1045.1,1.05E+07,393.7,3.96E+06,34.662,3.48E+05,929.95,9.35E+06,78.111,7.85E+05
042617Xim_G6_AR2,52,12962,TE,382.25,197.87,41.942,916.66,1.19E+07,59.823,7.75E+05,159.65,2.07E+06,894.08,1.16E+07,170.02,2.20E+06
042617Xim_G6_AR2,54,8707,TE,417.89,231.05,44.344,1598.4,1.39E+07,48.752,4.24E+05,25.656,2.23E+05,1072.4,9.34E+06,67.872,5.91E+05
042617Xim_G6_AR2,55,16468,ICM,200.88,276.42,45.861,600.62,9.89E+06,327.59,5.39E+06,34.924,5.75E+05,993.85,1.64E+07,330.25,5.44E+06
042617Xim_G6_AR2,56,3968,ICM,192.76,320.78,43.679,765.12,3.04E+06,437.66,1.74E+06,30.419,1.21E+05,935.36,3.71E+06,86.868,3.45E+05
042617Xim_G6_AR2,57,11729,TE,401.2,321.48,45.231,1322.9,1.55E+07,63.49,7.45E+05,30.464,3.57E+05,998.57,1.17E+07,160.02,1.88E+06
