Exp_date,Img_date,Experiment,Litter,Embryo_ID,Gene1,Genotype1,Gene2,Genotype2,Gene3,Genotype3,Background,Treatment,target,target_t0,target_killed,Tt_stage,Cellcount_t0,Recovery,Cell_diff,Experimenter,MINS_correct
20170322,20170411,032217Abl_G,G,032217Abl_G10,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170322,20170411,032217Abl_G,G,032217Abl_G11,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170322,20170411,032217Abl_G,G,032217Abl_G12,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,20170413,032717Abl_K,K,032717Abl_K1,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,12,3,tbd,,24h,kill_0.25,NS,tbd
20170327,20170413,032717Abl_K,K,032717Abl_K2,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,15,4,tbd,,24h,kill_0.25,NS,tbd
20170327,20170413,032717Abl_K,K,032717Abl_K3,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,16,4,tbd,,24h,kill_0.25,NS,tbd
20170327,20170413,032717Abl_K,K,032717Abl_K4,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,20170413,032717Abl_K,K,032717Abl_K5,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,20170413,032717Abl_K,K,032717Abl_K6,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,20170413,032717Abl_L,L,032717Abl_L1,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,17,4,tbd,,24h,kill_0.25,NS,tbd
20170327,20170413,032717Abl_L,L,032717Abl_L2,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,24,6,tbd,,24h,kill_0.25,NS,tbd
20170327,20170413,032717Abl_L,L,032717Abl_L3,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,16,4,tbd,,24h,kill_0.25,NS,tbd
20170327,20170413,032717Abl_L,L,032717Abl_L4,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,13,3,tbd,,24h,kill_0.25,NS,tbd
20170327,20170413,032717Abl_L,L,032717Abl_L5,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,20170413,032717Abl_L,L,032717Abl_L6,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
