Exp_date,Img_date,Experiment,Litter,Embryo_ID,Gene1,Genotype1,Gene2,Genotype2,Background,Treatment,Experimenter,MINS_correct
20170320,20170328,032017Abl_E,E,032017Abl_E8,Pdgfra,wt,any,wt,CD1/mixed,ab.test,NS,HG
20170320,20170328,032017Abl_E,E,032017Abl_E9,Pdgfra,wt,any,wt,CD1/mixed,ab.test,NS,HG
20170320,20170328,032017Abl_E,E,032017Abl_E10,Pdgfra,wt,any,wt,CD1/mixed,ab.test,NS,HG
20170320,20170328,032017Abl_E,E,032017Abl_E11,Pdgfra,wt,any,wt,CD1/mixed,ab.test,NS,HG
20170320,20170328,032017Abl_E,E,032017Abl_E12,Pdgfra,wt,any,wt,CD1/mixed,ab.test,NS,HG
20170323,20170328,032317Abl_H,H,032317Abl_H1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170328,032317Abl_H,H,032317Abl_H2,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170328,032317Abl_H,H,032317Abl_H3,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170328,032317Abl_H,H,032317Abl_H4,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170328,032317Abl_H,H,032317Abl_H5,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170328,032317Abl_H,H,032317Abl_H6,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170328,032317Abl_H,H,032317Abl_H7,Pdgfra,wt,any,wt,CD1/mixed,neg.control,NS,HG
20170323,20170328,032317Abl_H,H,032317Abl_H8,Pdgfra,wt,any,wt,CD1/mixed,neg.control,NS,HG
20170323,20170328,032317Abl_H,H,032317Abl_H9,Pdgfra,wt,any,wt,CD1/mixed,neg.control,NS,HG
20170323,20170328,032317Abl_H,H,032317Abl_H10,Pdgfra,wt,any,wt,CD1/mixed,neg.control,NS,HG
20170323,20170328,032317Abl_H,H,032317Abl_H11,Pdgfra,wt,any,wt,CD1/mixed,neg.control,NS,HG
20170323,20170329,032317Abl_I,I,032317Abl_I1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170329,032317Abl_I,I,032317Abl_I2,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170329,032317Abl_I,I,032317Abl_I3,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170329,032317Abl_I,I,032317Abl_I4,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170329,032317Abl_I,I,032317Abl_I5,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170329,032317Abl_I,I,032317Abl_I6,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170329,032317Abl_I,I,032317Abl_I7,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170329,032317Abl_I,I,032317Abl_I8,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170329,032317Abl_I,I,032317Abl_I9,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170329,032317Abl_I,I,032317Abl_I10,Pdgfra,wt,any,wt,CD1/mixed,ab.test,NS,HG
20170323,20170329,032317Abl_I,I,032317Abl_I11,Pdgfra,wt,any,wt,CD1/mixed,ab.test,NS,HG
20170323,20170329,032317Abl_I,I,032317Abl_I12,Pdgfra,wt,any,wt,CD1/mixed,ab.test,NS,HG
20170323,20170328,032317Abl_J,J,032317Abl_J1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170328,032317Abl_J,J,032317Abl_J2,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170323,20170328,032317Abl_J,J,032317Abl_J3,Pdgfra,wt,any,wt,CD1/mixed,ab.test,NS,HG
20170323,20170328,032317Abl_J,J,032317Abl_J4,Pdgfra,wt,any,wt,CD1/mixed,ab.test,NS,HG
20170323,20170328,032317Abl_J,J,032317Abl_J5,Pdgfra,wt,any,wt,CD1/mixed,ab.test,NS,HG
20170330,20170411,033017Abl_P,P,033017Abl_P1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170330,20170411,033017Abl_P,P,033017Abl_P2,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170330,20170411,033017Abl_P,P,033017Abl_P3,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170330,20170411,033017Abl_P,P,033017Abl_P4,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170330,20170411,033017Abl_P,P,033017Abl_P5,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170418,20170427,041817Pdgfra_AA,AA,041817Pdgfra_AA1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170418,20170427,041817Pdgfra_AA,AA,041817Pdgfra_AA2,Pdgfra,ko,any,wt,CD1/mixed,Littermate,NS,NS
20170418,20170427,041817Pdgfra_AA,AA,041817Pdgfra_AA3,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170418,20170427,041817Pdgfra_AA,AA,041817Pdgfra_AA4,Pdgfra,ko,any,wt,CD1/mixed,Littermate,NS,NS
20170418,20170427,041817Pdgfra_AA,AA,041817Pdgfra_AA5,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170420,20170427,042017Pdgfra_AB,AB,042017Pdgfra_AB1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170420,20170427,042017Pdgfra_AB,AB,042017Pdgfra_AB2,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170420,20170427,042017Pdgfra_AB,AB,042017Pdgfra_AB3,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170420,20170427,042017Pdgfra_AB,AB,042017Pdgfra_AB4,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170420,20170427,042017Pdgfra_AB,AB,042017Pdgfra_AB5,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170420,20170427,042017Pdgfra_AB,AB,042017Pdgfra_AB6,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170420,20170427,042017Pdgfra_AC,AC,042017Pdgfra_AC1,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170420,20170427,042017Pdgfra_AC,AC,042017Pdgfra_AC2,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170420,20170427,042017Pdgfra_AC,AC,042017Pdgfra_AC3,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170420,20170427,042017Pdgfra_AC,AC,042017Pdgfra_AC4,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170421,20170427,042117Pdgfra_AD,AD,042117Pdgfra_AD1,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170421,20170427,042117Pdgfra_AD,AD,042117Pdgfra_AD2,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170421,20170427,042117Pdgfra_AD,AD,042117Pdgfra_AD3,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,tbd
20170506,20170607,050617Pdgfra,SciSat,050617Pdgfra_1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,tbd
20170506,20170607,050617Pdgfra,SciSat,050617Pdgfra_2,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,tbd
20170506,20170607,050617Pdgfra,SciSat,050617Pdgfra_3,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,tbd
20170517,20170607,051717Pdgfra_AE,AE,051717Pdgfra_AE1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170517,20170607,051717Pdgfra_AE,AE,051717Pdgfra_AE2,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,JPH
20170517,20170607,051717Pdgfra_AE,AE,051717Pdgfra_AE3,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,JPH
20170517,20170607,051717Pdgfra_AE,AE,051717Pdgfra_AE4,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170517,20170607,051717Pdgfra_AE,AE,051717Pdgfra_AE5,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170607,052617Pdgfra_AF,AF,052617Pdgfra_AF1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170607,052617Pdgfra_AF,AF,052617Pdgfra_AF2,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170607,052617Pdgfra_AF,AF,052617Pdgfra_AF3,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170607,052617Pdgfra_AF,AF,052617Pdgfra_AF4,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170607,052617Pdgfra_AF,AF,052617Pdgfra_AF5,Pdgfra,ko,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170607,052617Pdgfra_AF,AF,052617Pdgfra_AF6,Pdgfra,ko,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170607,052617Pdgfra_AF,AF,052617Pdgfra_AF7,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170607,052617Pdgfra_AF,AF,052617Pdgfra_AF8,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170607,052617Pdgfra_AF,AF,052617Pdgfra_AF9,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170607,052617Pdgfra_AF,AF,052617Pdgfra_AF10,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170607,052617Pdgfra_AF,AF,052617Pdgfra_AF11,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170608,052617Pdgfra_AG,AG,052617Pdgfra_AG1,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170608,052617Pdgfra_AG,AG,052617Pdgfra_AG2,Pdgfra,ko,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170608,052617Pdgfra_AG,AG,052617Pdgfra_AG3,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170608,052617Pdgfra_AG,AG,052617Pdgfra_AG4,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170608,052617Pdgfra_AG,AG,052617Pdgfra_AG5,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,JPH
20170526,20170608,052617Pdgfra_AG,AG,052617Pdgfra_AG6,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170528,20170608,052817Pdgfra_AH,AH,052817Pdgfra_AH1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170528,20170608,052817Pdgfra_AH,AH,052817Pdgfra_AH2,Pdgfra,tbd,any,wt,CD1/mixed,Littermate,NS,JPH
20170528,20170608,052817Pdgfra_AH,AH,052817Pdgfra_AH3,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,JPH
20170528,20170608,052817Pdgfra_AH,AH,052817Pdgfra_AH4,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,JPH
20170528,20170608,052817Pdgfra_AH,AH,052817Pdgfra_AH5,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170528,20170608,052817Pdgfra_AH,AH,052817Pdgfra_AH6,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,JPH
20170528,20170608,052817Pdgfra_AH,AH,052817Pdgfra_AH7,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,JPH
20170530,20170608,053017Pdgfra_AI,AI,053017Pdgfra_AI1,Pdgfra,tbd,any,wt,CD1/mixed,Littermate,NS,JPH
20170530,20170608,053017Pdgfra_AI,AI,053017Pdgfra_AI2,Pdgfra,tbd,any,wt,CD1/mixed,Littermate,NS,JPH
20170530,20170608,053017Pdgfra_AI,AI,053017Pdgfra_AI3,Pdgfra,tbd,any,wt,CD1/mixed,Littermate,NS,JPH
20170530,20170608,053017Pdgfra_AI,AI,053017Pdgfra_AI4,Pdgfra,tbd,any,wt,CD1/mixed,Littermate,NS,JPH
20170530,20170608,053017Pdgfra_AI,AI,053017Pdgfra_AI5,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,JPH
20170530,20170608,053017Pdgfra_AI,AI,053017Pdgfra_AI6,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,JPH
20170531,20170608,053117Pdgfra_AJ,AJ,053117Pdgfra_AJ1,Pdgfra,tbd,any,wt,CD1/mixed,Littermate,NS,JPH
20170531,20170608,053117Pdgfra_AJ,AJ,053117Pdgfra_AJ2,Pdgfra,tbd,any,wt,CD1/mixed,Littermate,NS,JPH
20170531,20170608,053117Pdgfra_AJ,AJ,053117Pdgfra_AJ3,Pdgfra,tbd,any,wt,CD1/mixed,Littermate,NS,JPH
20170531,20170608,053117Pdgfra_AJ,AJ,053117Pdgfra_AJ4,Pdgfra,tbd,any,wt,CD1/mixed,Littermate,NS,JPH
20170531,20170608,053117Pdgfra_AJ,AJ,053117Pdgfra_AJ5,Pdgfra,tbd,any,wt,CD1/mixed,Littermate,NS,JPH
20170531,20170608,053117Pdgfra_AJ,AJ,053117Pdgfra_AJ6,Pdgfra,tbd,any,wt,CD1/mixed,Littermate,NS,JPH
20170618,20170620,061817Pdgfra_AM,AM,061817Pdgfra_AM1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170618,20170620,061817Pdgfra_AM,AM,061817Pdgfra_AM2,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170618,20170620,061817Pdgfra_AM,AM,061817Pdgfra_AM3,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,JPH
20170618,20170620,061817Pdgfra_AM,AM,061817Pdgfra_AM4,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,JPH
20170618,20170620,061817Pdgfra_AM,AM,061817Pdgfra_AM5,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170618,20170620,061817Pdgfra_AN,AN,061817Pdgfra_AN1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170618,20170620,061817Pdgfra_AN,AN,061817Pdgfra_AN2,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170618,20170620,061817Pdgfra_AN,AN,061817Pdgfra_AN3,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170618,20170620,061817Pdgfra_AN,AN,061817Pdgfra_AN4,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170618,20170620,061817Pdgfra_AN,AN,061817Pdgfra_AN5,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170618,20170620,061817Pdgfra_AN,AN,061817Pdgfra_AN6,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170618,20170620,061817Pdgfra_AN,AN,061817Pdgfra_AN7,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170618,20170620,061817Pdgfra_AN,AN,061817Pdgfra_AN8,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170618,20170620,061817Pdgfra_AN,AN,061817Pdgfra_AN9,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170618,20170620,061817Pdgfra_AN,AN,061817Pdgfra_AN10,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170629,20170710,062917Pdgfra_AT,AT,062917Pdgfra_AT1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170629,20170710,062917Pdgfra_AT,AT,062917Pdgfra_AT2,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170629,20170710,062917Pdgfra_AT,AT,062917Pdgfra_AT3,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170629,20170710,062917Pdgfra_AT,AT,062917Pdgfra_AT4,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170629,20170710,062917Pdgfra_AT,AT,062917Pdgfra_AT5,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170629,20170710,062917Pdgfra_AT,AT,062917Pdgfra_AT6,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170629,20170710,062917Pdgfra_AT,AT,062917Pdgfra_AT7,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170629,20170710,062917Pdgfra_AT,AT,062917Pdgfra_AT8,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,NS
20170629,20170710,062917Pdgfra_AT,AT,062917Pdgfra_AT9,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170629,20170710,062917Pdgfra_AT,AT,062917Pdgfra_AT10,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170629,20170711,062917Pdgfra_AU,AU,062917Pdgfra_AU1,Pdgfra,het,any,wt,CD1/mixed,Littermate,JPH,NS
20170713,20170719,071317Pdgfra_AW,AW,071317Pdgfra_AW1,Pdgfra,het,any,wt,CD1/mixed,Littermate,JPH,NS
20170713,20170719,071317Pdgfra_AW,AW,071317Pdgfra_AW2,Pdgfra,het,any,wt,CD1/mixed,Littermate,JPH,NS
20170713,20170719,071317Pdgfra_AW,AW,071317Pdgfra_AW3,Pdgfra,het,any,wt,CD1/mixed,Littermate,JPH,NS
20170713,20170719,071317Pdgfra_AW,AW,071317Pdgfra_AW4,Pdgfra,wt,any,wt,CD1/mixed,Littermate,JPH,NS
20170713,20170719,071317Pdgfra_AW,AW,071317Pdgfra_AW5,Pdgfra,wt,any,wt,CD1/mixed,Littermate,JPH,NS
20170713,20170719,071317Pdgfra_AW,AW,071317Pdgfra_AW6,Pdgfra,het,any,wt,CD1/mixed,Littermate,JPH,NS
20170713,20170719,071317Pdgfra_AW,AW,071317Pdgfra_AW7,Pdgfra,het,any,wt,CD1/mixed,Littermate,JPH,NS
20170713,20170719,071317Pdgfra_AW,AW,071317Pdgfra_AW8,Pdgfra,wt,any,wt,CD1/mixed,Littermate,JPH,NS
20170713,20170719,071317Pdgfra_AW,AW,071317Pdgfra_AW9,Pdgfra,wt,any,wt,CD1/mixed,Littermate,JPH,NS
20170713,20170719,071317Pdgfra_AW,AW,071317Pdgfra_AW10,Pdgfra,het,any,wt,CD1/mixed,Littermate,JPH,NS
20170720,20170802,072017Pdgfra_BE,BE,072017Pdgfra_BE1,Pdgfra,,any,wt,CD1/mixed,Littermate,JPH,tbd
20170720,20170802,072017Pdgfra_BE,BE,072017Pdgfra_BE2,Pdgfra,,any,wt,CD1/mixed,Littermate,JPH,tbd
20170720,20170802,072017Pdgfra_BE,BE,072017Pdgfra_BE3,Pdgfra,,any,wt,CD1/mixed,Littermate,JPH,tbd
20170720,20170802,072017Pdgfra_BE,BE,072017Pdgfra_BE4,Pdgfra,,any,wt,CD1/mixed,Littermate,JPH,tbd
20170720,20170802,072017Pdgfra_BE,BE,072017Pdgfra_BE5,Pdgfra,,any,wt,CD1/mixed,Littermate,JPH,tbd
20170720,20170802,072017Pdgfra_BE,BE,072017Pdgfra_BE6,Pdgfra,,any,wt,CD1/mixed,Littermate,JPH,tbd
20170720,20170802,072017Pdgfra_BE,BE,072017Pdgfra_BE7,Pdgfra,,any,wt,CD1/mixed,Littermate,JPH,tbd
20170720,20170802,072017Pdgfra_BE,BE,072017Pdgfra_BE8,Pdgfra,,any,wt,CD1/mixed,Littermate,JPH,tbd
20170729,20170807,072917Pdgfra_BH,BH,072917Pdgfra_BH1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170807,072917Pdgfra_BH,BH,072917Pdgfra_BH2,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170807,072917Pdgfra_BH,BH,072917Pdgfra_BH3,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170807,072917Pdgfra_BH,BH,072917Pdgfra_BH4,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170807,072917Pdgfra_BH,BH,072917Pdgfra_BH5,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170807,072917Pdgfra_BH,BH,072917Pdgfra_BH6,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170807,072917Pdgfra_BH,BH,072917Pdgfra_BH7,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170807,072917Pdgfra_BH,BH,072917Pdgfra_BH8,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170807,072917Pdgfra_BH,BH,072917Pdgfra_BH9,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170807,072917Pdgfra_BH,BH,072917Pdgfra_BH10,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170808,072917Pdgfra_BI,BI,072917Pdgfra_BI1,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170808,072917Pdgfra_BI,BI,072917Pdgfra_BI2,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170808,072917Pdgfra_BI,BI,072917Pdgfra_BI3,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170808,072917Pdgfra_BI,BI,072917Pdgfra_BI4,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170808,072917Pdgfra_BI,BI,072917Pdgfra_BI5,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170808,072917Pdgfra_BI,BI,072917Pdgfra_BI6,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170808,072917Pdgfra_BI,BI,072917Pdgfra_BI7,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170808,072917Pdgfra_BI,BI,072917Pdgfra_BI8,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170808,072917Pdgfra_BI,BI,072917Pdgfra_BI9,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170808,072917Pdgfra_BI,BI,072917Pdgfra_BI10,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170808,072917Pdgfra_BI,BI,072917Pdgfra_BI11,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,tbd
20170729,20170808,072917Pdgfra_BI,BI,072917Pdgfra_BI12,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,tbd
20170731,20170907,073117Pdgfra_BJ,BJ,073117Pdgfra_BJ1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,SR
20170731,20170907,073117Pdgfra_BJ,BJ,073117Pdgfra_BJ2,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,SR
20170731,20170907,073117Pdgfra_BJ,BJ,073117Pdgfra_BJ3,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,SR
20170731,20170907,073117Pdgfra_BJ,BJ,073117Pdgfra_BJ4,Pdgfra,ko,any,wt,CD1/mixed,Littermate,NS,SR
20170731,20170907,073117Pdgfra_BJ,BJ,073117Pdgfra_BJ5,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,SR
20170804,20170907,080417Pdgfra_BK,BK,080417Pdgfra_BK1,Pdgfra,wt,any,wt,CD1/mixed,Littermate,NS,SR
20170804,20170907,080417Pdgfra_BK,BK,080417Pdgfra_BK2,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,SR
20170804,20170907,080417Pdgfra_BK,BK,080417Pdgfra_BK3,Pdgfra,ko,any,wt,CD1/mixed,Littermate,NS,SR
