Exp_date,Img_date,Experiment,Litter,Embryo_ID,Gene1,Genotype1,Gene2,Genotype2,ESC_line,Treatment,ES_culture,H_cells,D_cells,Culture_time,Tt_stage,ESC_t0,Cre,Technique,Experimenter,MINS_correct
20160204,20160210,020416Xim_F4KO_O,O,020416Xim_F4KO_O4,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160204,20160210,020416Xim_F4KO_O,O,020416Xim_F4KO_O5,Fgf4,unknown,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160204,20160210,020416Xim_F4KO_O,O,020416Xim_F4KO_O6,Fgf4,F4FL_FL,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160204,20160210,020416Xim_F4KO_O,O,020416Xim_F4KO_O7,Fgf4,F4FL_FL,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160204,20160210,020416Xim_F4KO_O,O,020416Xim_F4KO_O8,Fgf4,F4_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160204,20160210,020416Xim_F4KO_O,O,020416Xim_F4KO_O9,Fgf4,F4_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160204,20160210,020416Xim_F4KO_O,O,020416Xim_F4KO_O10,Fgf4,unknown,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160204,20160210,020416Xim_F4KO_O,O,020416Xim_F4KO_O11,Fgf4,F4FL_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160204,20160210,020416Xim_F4KO_O,O,020416Xim_F4KO_O12,Fgf4,F4FL_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160209,20160222,020916Xim_F4KO_P,P,020916Xim_F4KO_P1,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
