Exp_date,Img_date,Experiment,Litter,Embryo_ID,H_genotype,D_genotype,Treatment,H_cells,D_cells,Tt_stage,Embryo_size,Experimenter,MINS_correct
20170113,20170117,011317Xim_WT_AD,AD,011317Xim_WT_AD5,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170113,20170117,011317Xim_WT_AD,AD,011317Xim_WT_AD6,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170113,20170117,011317Xim_WT_AD,AD,011317Xim_WT_AD7,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170113,20170117,011317Xim_WT_AD,AD,011317Xim_WT_AD8,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170113,20170117,011317Xim_WT_AD,AD,011317Xim_WT_AD9,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170115,20170120,011517Xim_WT_AE,AE,011517Xim_WT_AE1,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170115,20170120,011517Xim_WT_AE,AE,011517Xim_WT_AE2,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170115,20170120,011517Xim_WT_AE,AE,011517Xim_WT_AE3,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170115,20170120,011517Xim_WT_AE,AE,011517Xim_WT_AE4,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170115,20170120,011517Xim_WT_AE,AE,011517Xim_WT_AE5,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170115,20170120,011517Xim_WT_AE,AE,011517Xim_WT_AE6,CAG:H2B-GFP,NA,Control,8,0,8cell,Single,NS,HG
20170115,20170120,011517Xim_WT_AE,AE,011517Xim_WT_AE7,CAG:H2B-GFP,NA,Control,8,0,8cell,Single,NS,HG
20170115,20170120,011517Xim_WT_AE,AE,011517Xim_WT_AE8,CAG:H2B-GFP,NA,Control,8,0,8cell,Single,NS,HG
20170115,20170120,011517Xim_WT_AE,AE,011517Xim_WT_AE9,CAG:H2B-GFP,NA,Control,8,0,8cell,Single,NS,HG
20170115,20170120,011517Xim_WT_AE,AE,011517Xim_WT_AE10,CAG:H2B-GFP,NA,Control,8,0,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF1,ko,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF2,unknown,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF3,het,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF4,het,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF5,het,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF6,ko,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF7,het,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF8,het,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF9,het,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF10,ko,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF11,ko,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF12,het,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF13,het,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF14,wt,NA,Control,8,0,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF15,wt,NA,Control,8,0,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF16,wt,NA,Control,8,0,8cell,Single,NS,HG
20170120,20170124,012017Xim_G6_AF,AF,012017Xim_G6_AF17,wt,NA,Control,8,0,8cell,Single,NS,HG
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG1,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,NA
