"","Experiment","Treatment","Genotype1","CH2","CH3","CH5"
"94","062817Abl_AS","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"95","062817Abl_AS","Control","wt","CDX2.m","NANOG.rb","GATA6.gt"
"96","062817Abl_AS","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"97","070919Abl_FE","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"98","070919Abl_FE","Control","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"99","070919Abl_FE","Random","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"100","070919Abl_FF","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"101","070919Abl_FF","Control","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"102","071217Abl_AV","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"103","071217Abl_AV","Control","wt","CDX2.m","NANOG.rb","GATA6.gt"
"104","071217Abl_AV","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"105","072318Abl_DP","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"106","072318Abl_DP","Control","het","GFP","NANOG.rb","GATA6.gt"
"107","072318Abl_DP","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"108","072318Abl_DQ","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"109","072318Abl_DQ","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"110","072517Abl_AW","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"111","072517Abl_AW","Control","wt","CDX2.m","NANOG.rb","GATA6.gt"
"112","072517Abl_AW","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"113","072517Abl_AX","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"114","072517Abl_AX","Control","het","GFP","NANOG.rb","GATA6.gt"
"115","072517Abl_AX","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"116","072518Abl_DR","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"117","072518Abl_DR","Control","het","GFP","NANOG.rb","GATA6.gt"
"118","072518Abl_DR","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"119","072518Abl_DS","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"120","072518Abl_DS","Control","het","GFP","NANOG.rb","GATA6.gt"
"121","072518Abl_DS","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"122","072817Abl_AY","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"123","072817Abl_AY","Control","het","GFP","NANOG.rb","GATA6.gt"
"124","072817Abl_AY","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"125","072817Abl_AZ","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"126","072817Abl_AZ","Control","wt","CDX2.m","NANOG.rb","GATA6.gt"
"127","072817Abl_AZ","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"128","080117Abl_BA","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"129","080117Abl_BA","Control","het","GFP","NANOG.rb","GATA6.gt"
"130","080117Abl_BA","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"131","080117Abl_BB","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"132","080117Abl_BB","Control","het","GFP","NANOG.rb","GATA6.gt"
"133","080117Abl_BB","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"134","080117Abl_BC","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"135","080117Abl_BC","Control","het","GFP","NANOG.rb","GATA6.gt"
"136","080117Abl_BC","Control","wt","CDX2.m","NANOG.rb","GATA6.gt"
"137","080117Abl_BC","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"138","080117Abl_BD","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"139","080117Abl_BD","Control","het","GFP","NANOG.rb","GATA6.gt"
"140","080117Abl_BD","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"141","081417Abl_BH","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"142","081417Abl_BH","Control","het","GFP","NANOG.rb","GATA6.gt"
"143","081417Abl_BH","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"144","081517Abl_BK","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"145","081517Abl_BK","Control","het","GFP","NANOG.rb","GATA6.gt"
"146","081517Abl_BK","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"147","082219Abl_FG","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"148","082219Abl_FG","Littermate","wt","GFP","NANOG.rb","GATA6.gt"
"149","082619Abl_FH","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"150","082619Abl_FH","Control","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"151","082619Abl_FH","Random","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"152","082819Abl_FI","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"153","082819Abl_FJ","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"154","100719Abl_FL","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"155","100719Abl_FL","Control","het","GFP","NANOG.rb","GATA6.gt"
"156","100719Abl_FL","Control","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"157","100719Abl_FL","Random","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"158","100719Abl_FM","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"159","100719Abl_FM","Control","het","GFP","NANOG.rb","GATA6.gt"
"160","100719Abl_FM","Control","wt","NANOG.rat","GATA4.rb","GATA6.gt"
