"Experiment","Treatment","Genotype1","Genotype2","CH2","CH3","CH5"
"080718Xim_WT_CLCM.Control","Control","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"080718Xim_WT_CNa.Chimera","Chimera","wt","CAG:H2B-GFP/+","GFP.ck","GATA6.rb","tdTomato"
"080718Xim_WT_CNb.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"080718Xim_WT_COa.Chimera","Chimera","wt","CAG:H2B-GFP/+","GFP.ck","GATA6.rb","tdTomato"
"080718Xim_WT_COb.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"081118Xim_F4_CQ.Chimera","Chimera","fl/ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"081118Xim_F4_CQ.Chimera","Chimera","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"081118Xim_F4_CQ.Control","Control","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"102418Xim_F4_CR.Chimera","Chimera","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"102418Xim_F4_CR.Chimera","Chimera","mosaic","wt","NANOG.rat","GATA6.rb","tdTomato"
"102418Xim_F4_CR.Chimera","Chimera","unknown","wt","NANOG.rat","GATA6.rb","tdTomato"
"102418Xim_F4_CR.Control","Control","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"102418Xim_F4_CR.Control","Control","mosaic","wt","NANOG.rat","GATA6.rb","tdTomato"
"102618Xim_F4_CS.Chimera","Chimera","fl/ko","het","GFP","GATA6.rb","tdTomato"
"102618Xim_F4_CS.Chimera","Chimera","fl/ko","wt","GFP","GATA6.rb","tdTomato"
"102618Xim_F4_CS.Chimera","Chimera","ko","het","GFP","GATA6.rb","tdTomato"
"102618Xim_F4_CS.Chimera","Chimera","ko","wt","GFP","GATA6.rb","tdTomato"
"102618Xim_F4_CS.Chimera","Chimera","mosaic","wt","GFP","GATA6.rb","tdTomato"
"102618Xim_F4_CS.Control","Control","ko","het","GFP","GATA6.rb","tdTomato"
"102618Xim_F4_CS.Control","Control","mosaic","het","GFP","GATA6.rb","tdTomato"
"102618Xim_F4_CS.Littermate","Littermate","ko","het","NANOG.rat","GATA4.rb","GATA6.gt"
"102618Xim_F4_CS.Littermate","Littermate","mosaic","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"102618Xim_F4_CS.Littermate","Littermate","unknown","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"102618Xim_F4_CT.Chimera","Chimera","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"102618Xim_F4_CT.Control","Control","fl/ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"102618Xim_F4_CT.Control","Control","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"102618Xim_F4_CT.Littermate","Littermate","fl/ko","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"102618Xim_F4_CT.Littermate","Littermate","ko","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"102918Xim_F4_CU.Chimera","Chimera","fl/ko","wt","GFP","GATA6.rb","tdTomato"
"102918Xim_F4_CU.Chimera","Chimera","ko","het","GFP","GATA6.rb","tdTomato"
"102918Xim_F4_CU.Chimera","Chimera","ko","wt","GFP","GATA6.rb","tdTomato"
